Target gene	Representative transcript	Gene name	3P-seq tags + 5	Conserved sites total	Conserved 8mer sites	Conserved 7mer-m8 sites	Conserved 7mer-A1 sites	Poorly conserved sites total	Poorly conserved 8mer sites	Poorly conserved 7mer-m8 sites	Poorly conserved 7mer-A1 sites	6mer sites	Representative miRNA	Predicted occupancy (low miRNA)	Predicted occupancy (high miRNA)	Predicted occupancy (transfected miRNA)	Cumulative weighted context++ score	Total context++ score	Aggregate PCT	Previous TargetScan publication(s)
EBF4	ENST00000380648.4	early B-cell factor 4 	1194	1	0	1	0	3	0	3	0	0	hsa-miR-328-3p	0.0184	0.1218	0.5135	-0.32	-0.44	N/A	NULL
TP73	ENST00000378280.1	tumor protein p73 	831	1	0	1	0	2	0	0	2	1	hsa-miR-328-3p	0.0266	0.1862	1.0220	-0.31	-0.34	N/A	NULL
GBX2	ENST00000551105.1	gastrulation brain homeobox 2 	53	1	0	0	1	2	0	2	0	3	hsa-miR-328-3p	0.0253	0.1704	0.7996	-0.31	-0.50	N/A	NULL
MAP3K9	ENST00000554752.2	mitogen-activated protein kinase kinase kinase 9 	44	1	0	1	0	0	0	0	0	2	hsa-miR-328-3p	0.0480	0.3210	1.5321	-0.31	-0.33	N/A	2009, 2011
CA3	ENST00000285381.2	carbonic anhydrase III, muscle specific 	5	1	0	1	0	0	0	0	0	0	hsa-miR-328-3p	0.0370	0.2237	0.7254	-0.31	-0.31	N/A	2011
FOXO4	ENST00000374259.3	forkhead box O4 	48	1	1	0	0	0	0	0	0	1	hsa-miR-328-3p	0.0464	0.2742	0.8810	-0.31	-0.31	N/A	2007, 2009, 2011
LGR4	ENST00000379214.4	leucine-rich repeat containing G protein-coupled receptor 4 	1387	1	1	0	0	0	0	0	0	0	hsa-miR-328-3p	0.0561	0.3214	0.9910	-0.30	-0.30	N/A	2007, 2009, 2011
C19orf43	ENST00000588213.1	chromosome 19 open reading frame 43 	1264	1	0	0	1	0	0	0	0	0	hsa-miR-328-3p	0.0050	0.0361	0.2181	-0.30	-0.30	N/A	NULL
POLR3H	ENST00000396504.2	polymerase (RNA) III (DNA directed) polypeptide H (22.9kD) 	216	1	0	0	1	1	0	1	0	4	hsa-miR-328-3p	0.0412	0.2821	1.4527	-0.29	-0.30	N/A	NULL
SNRK	ENST00000429705.2	SNF related kinase 	153	1	0	1	0	0	0	0	0	1	hsa-miR-328-3p	0.1141	0.6111	1.8171	-0.29	-0.29	N/A	2007, 2009, 2011
HIC1	ENST00000399849.3	hypermethylated in cancer 1 	76	1	1	0	0	0	0	0	0	0	hsa-miR-328-3p	0.0107	0.0757	0.4239	-0.28	-0.28	N/A	2009, 2011
ZNF697	ENST00000421812.2	zinc finger protein 697 	43	1	1	0	0	0	0	0	0	0	hsa-miR-328-3p	0.0434	0.2516	0.7239	-0.28	-0.28	N/A	2009, 2011
ESCO1	ENST00000269214.5	establishment of sister chromatid cohesion N-acetyltransferase 1 	94	1	0	1	0	1	1	0	0	0	hsa-miR-328-3p	0.0462	0.2633	0.7783	-0.28	-0.64	N/A	2007, 2009, 2011
TTC26	ENST00000430935.1	tetratricopeptide repeat domain 26 	211	1	0	0	1	0	0	0	0	0	hsa-miR-328-3p	0.0408	0.2622	1.0201	-0.27	-0.27	N/A	NULL
C10orf113	ENST00000529198.1	chromosome 10 open reading frame 113 	5	1	0	0	1	0	0	0	0	0	hsa-miR-328-3p	0.0097	0.0686	0.3925	-0.27	-0.27	N/A	NULL
ZNF436	ENST00000314011.4	zinc finger protein 436 	73	1	0	1	0	1	0	1	0	2	hsa-miR-328-3p	0.0576	0.3426	1.1014	-0.27	-0.45	N/A	2011
STT3A	ENST00000392708.4	STT3A, subunit of the oligosaccharyltransferase complex (catalytic) 	3595	1	0	0	1	0	0	0	0	0	hsa-miR-328-3p	0.0098	0.0677	0.3445	-0.26	-0.28	N/A	2007, 2011
ZNF280B	ENST00000360412.2	zinc finger protein 280B 	7	1	1	0	0	0	0	0	0	1	hsa-miR-328-3p	0.0536	0.2993	0.9347	-0.26	-0.34	N/A	NULL
ARL6IP1	ENST00000304414.7	ADP-ribosylation factor-like 6 interacting protein 1 	25	1	1	0	0	0	0	0	0	0	hsa-miR-328-3p	0.0362	0.1933	0.4893	-0.26	-0.49	N/A	2011
WASF2	ENST00000536657.1	WAS protein family, member 2 	311	1	0	0	1	1	0	1	0	0	hsa-miR-328-3p	0.0518	0.3303	1.2303	-0.26	-0.27	N/A	2011
PTPN9	ENST00000306726.2	protein tyrosine phosphatase, non-receptor type 9 	644	1	0	1	0	0	0	0	0	0	hsa-miR-328-3p	0.0484	0.2794	0.8375	-0.26	-0.26	N/A	2007, 2009, 2011
NKPD1	ENST00000317951.4	NTPase, KAP family P-loop domain containing 1 	10	1	0	1	0	1	1	0	0	2	hsa-miR-328-3p	0.0588	0.3487	1.2974	-0.26	-0.39	N/A	NULL
NKIRAS2	ENST00000462043.2	NFKB inhibitor interacting Ras-like 2 	9685	1	0	0	1	0	0	0	0	0	hsa-miR-328-3p	0.0100	0.0705	0.4024	-0.25	-0.25	N/A	NULL
DNAH10OS	ENST00000514254.2	dynein, axonemal, heavy chain 10 opposite strand 	89	1	0	1	0	0	0	0	0	4	hsa-miR-328-3p	0.0403	0.2849	1.6286	-0.25	-0.25	N/A	NULL
SOGA1	ENST00000279034.6	suppressor of glucose, autophagy associated 1 	93	1	0	0	1	0	0	0	0	0	hsa-miR-328-3p	0.0192	0.1338	0.7033	-0.25	-0.25	N/A	2007, 2011
PEF1	ENST00000373703.4	penta-EF-hand domain containing 1 	1094	1	0	0	1	0	0	0	0	0	hsa-miR-328-3p	0.0152	0.1032	0.4850	-0.25	-0.25	N/A	2009, 2011
RSBN1L	ENST00000334955.8	round spermatid basic protein 1-like 	640	1	0	1	0	0	0	0	0	0	hsa-miR-328-3p	0.0642	0.3349	0.7834	-0.24	-0.25	N/A	2007, 2009, 2011
MPV17	ENST00000402722.1	MpV17 mitochondrial inner membrane protein 	1676	1	0	0	1	0	0	0	0	0	hsa-miR-328-3p	0.0061	0.0437	0.2522	-0.24	-0.24	N/A	NULL
MBNL3	ENST00000370839.3	muscleblind-like splicing regulator 3 	593	1	0	1	0	1	0	1	0	0	hsa-miR-328-3p	0.0772	0.4551	1.5987	-0.24	-0.30	N/A	2011
LHFPL2	ENST00000515007.2	lipoma HMGIC fusion partner-like 2 	16	1	1	0	0	0	0	0	0	0	hsa-miR-328-3p	0.0257	0.1574	0.5136	-0.24	-0.31	N/A	2009, 2011
SLC27A4	ENST00000300456.4	solute carrier family 27 (fatty acid transporter), member 4 	523	1	0	0	1	0	0	0	0	1	hsa-miR-328-3p	0.0178	0.1239	0.6726	-0.24	-0.24	N/A	2011
NRIP1	ENST00000400199.1	nuclear receptor interacting protein 1 	342	1	0	1	0	1	0	1	0	0	hsa-miR-328-3p	0.0746	0.4493	1.4377	-0.23	-0.24	N/A	2007, 2009, 2011
KIF2A	ENST00000381103.2	kinesin heavy chain member 2A 	905	1	0	1	0	0	0	0	0	0	hsa-miR-328-3p	0.0298	0.1852	0.6267	-0.23	-0.23	N/A	NULL
ITGA9	ENST00000264741.5	integrin, alpha 9 	9	1	1	0	0	0	0	0	0	2	hsa-miR-328-3p	0.0892	0.5192	1.7466	-0.23	-0.23	N/A	NULL
ZC3H12B	ENST00000338957.4	zinc finger CCCH-type containing 12B 	29	1	1	0	0	0	0	0	0	0	hsa-miR-328-3p	0.0578	0.3269	0.9761	-0.23	-0.23	N/A	2007, 2011
HIF1AN	ENST00000299163.6	hypoxia inducible factor 1, alpha subunit inhibitor 	1545	1	0	1	0	2	0	2	0	2	hsa-miR-328-3p	0.0785	0.4444	1.4609	-0.23	-0.34	N/A	NULL
METTL21B	ENST00000333012.5	methyltransferase like 21B 	51	1	0	1	0	0	0	0	0	0	hsa-miR-328-3p	0.0288	0.1951	0.9181	-0.22	-0.22	N/A	NULL
ACSS2	ENST00000336325.4	acyl-CoA synthetase short-chain family member 2 	4548	1	0	1	0	1	0	1	0	0	hsa-miR-328-3p	0.0374	0.2523	1.2163	-0.22	-0.22	N/A	2009, 2011
YWHAZ	ENST00000395957.2	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, zeta polypeptide 	184	1	0	1	0	0	0	0	0	0	hsa-miR-328-3p	0.0420	0.2490	0.7756	-0.22	-0.22	N/A	2007, 2011
PTPRU	ENST00000428026.2	protein tyrosine phosphatase, receptor type, U 	261	1	0	1	0	1	0	0	1	1	hsa-miR-328-3p	0.0280	0.1956	1.0816	-0.21	-0.21	N/A	NULL
H2AFX	ENST00000530167.1	H2A histone family, member X 	1339	1	0	1	0	0	0	0	0	1	hsa-miR-328-3p	0.0343	0.2301	1.0440	-0.21	-0.31	N/A	2007, 2009, 2011
HAP1	ENST00000393939.2	huntingtin-associated protein 1 	5	2	0	2	0	0	0	0	0	2	hsa-miR-328-3p	0.0696	0.4437	1.8925	-0.21	-0.21	N/A	2007, 2009, 2011
MICALL1	ENST00000215957.6	MICAL-like 1 	374	1	0	0	1	1	0	1	0	3	hsa-miR-328-3p	0.0136	0.0963	0.5579	-0.21	-0.39	N/A	2011
C6orf223	ENST00000439969.2	chromosome 6 open reading frame 223 	17	1	0	0	1	3	0	2	1	2	hsa-miR-328-3p	0.0245	0.1717	0.9423	-0.21	-0.34	N/A	NULL
PCNXL4	ENST00000535349.1	pecanex-like 4 (Drosophila) 	268	1	0	0	1	0	0	0	0	0	hsa-miR-328-3p	0.0109	0.0775	0.4502	-0.21	-0.21	N/A	NULL
SHKBP1	ENST00000291842.5	SH3KBP1 binding protein 1 	649	1	0	1	0	0	0	0	0	0	hsa-miR-328-3p	0.0073	0.0517	0.3025	-0.21	-0.21	N/A	2011
FAM199X	ENST00000493442.1	family with sequence similarity 199, X-linked 	856	1	0	1	0	0	0	0	0	0	hsa-miR-328-3p	0.0780	0.3811	0.8046	-0.20	-0.21	N/A	2009, 2011
SCN2B	ENST00000278947.5	sodium channel, voltage-gated, type II, beta subunit 	5	1	0	1	0	0	0	0	0	1	hsa-miR-328-3p	0.0541	0.3192	1.0809	-0.20	-0.20	N/A	2007, 2009, 2011
ANKRD40	ENST00000285243.6	ankyrin repeat domain 40 	409	1	0	0	1	0	0	0	0	0	hsa-miR-328-3p	0.0077	0.0547	0.3295	-0.20	-0.20	N/A	2007, 2011
FAM211A	ENST00000409083.3	family with sequence similarity 211, member A 	23	1	0	1	0	0	0	0	0	1	hsa-miR-328-3p	0.0282	0.1919	0.9480	-0.20	-0.20	N/A	2007
KIAA0247	ENST00000342745.4	KIAA0247 	161	1	0	1	0	0	0	0	0	0	hsa-miR-328-3p	0.0388	0.2399	0.8676	-0.20	-0.20	N/A	2011
RNF152	ENST00000312828.3	ring finger protein 152 	57	1	1	0	0	0	0	0	0	1	hsa-miR-328-3p	0.0554	0.2619	0.6545	-0.19	-0.43	N/A	NULL
SLITRK3	ENST00000475390.1	SLIT and NTRK-like family, member 3 	5	1	0	1	0	0	0	0	0	0	hsa-miR-328-3p	0.0567	0.3502	1.2089	-0.19	-0.19	N/A	2007, 2011
SLC7A6	ENST00000219343.6	solute carrier family 7 (amino acid transporter light chain, y+L system), member 6 	1044	1	0	1	0	2	0	0	2	0	hsa-miR-328-3p	0.0254	0.1713	0.8363	-0.19	-0.36	N/A	2011
VAMP2	ENST00000404970.3	vesicle-associated membrane protein 2 (synaptobrevin 2) 	1840	1	0	1	0	0	0	0	0	0	hsa-miR-328-3p	0.0088	0.0622	0.3488	-0.19	-0.19	N/A	NULL
ERMP1	ENST00000381506.3	endoplasmic reticulum metallopeptidase 1 	53	2	2	0	0	0	0	0	0	1	hsa-miR-328-3p	0.0204	0.1252	0.4720	-0.19	-0.77	N/A	2009, 2011
RPS9	ENST00000441429.1	ribosomal protein S9 	54	1	0	1	0	0	0	0	0	0	hsa-miR-328-3p	0.0118	0.0814	0.4053	-0.19	-0.19	N/A	NULL
KIAA1614	ENST00000367588.4	KIAA1614 	5	1	0	0	1	1	0	1	0	1	hsa-miR-328-3p	0.0509	0.3548	1.9482	-0.18	-0.18	N/A	NULL
CCDC88A	ENST00000336838.6	coiled-coil domain containing 88A 	141	1	0	0	1	0	0	0	0	0	hsa-miR-328-3p	0.0104	0.0728	0.3828	-0.18	-0.18	N/A	2009, 2011
ZNF423	ENST00000561648.1	zinc finger protein 423 	170	1	0	1	0	0	0	0	0	2	hsa-miR-328-3p	0.0266	0.1736	0.7290	-0.18	-0.19	N/A	2007
TRIM71	ENST00000383763.5	tripartite motif containing 71, E3 ubiquitin protein ligase 	67	1	0	0	1	2	1	1	0	0	hsa-miR-328-3p	0.0550	0.3413	1.3776	-0.18	-0.27	N/A	NULL
RPP14	ENST00000445193.3	ribonuclease P/MRP 14kDa subunit 	1612	1	0	1	0	0	0	0	0	0	hsa-miR-328-3p	0.0141	0.1022	0.6551	-0.17	-0.17	N/A	2007, 2009, 2011
PHF15	ENST00000402835.1	PHD finger protein 15 	387	1	0	1	0	1	0	1	0	3	hsa-miR-328-3p	0.0554	0.3719	1.7384	-0.17	-0.20	N/A	2007, 2009, 2011
RS1	ENST00000379984.3	retinoschisin 1 	5	1	0	1	0	0	0	0	0	0	hsa-miR-328-3p	0.0283	0.1773	0.6143	-0.17	-0.17	N/A	2011
ESRP1	ENST00000358397.5	epithelial splicing regulatory protein 1 	74	1	0	0	1	0	0	0	0	0	hsa-miR-328-3p	0.0318	0.1999	0.7346	-0.17	-0.17	N/A	2007, 2009, 2011
NRG2	ENST00000394770.1	neuregulin 2 	9	1	0	0	1	3	0	2	1	2	hsa-miR-328-3p	0.0386	0.2498	1.1165	-0.16	-0.34	N/A	2011
SPECC1L	ENST00000314328.9	sperm antigen with calponin homology and coiled-coil domains 1-like 	3720	1	0	1	0	0	0	0	0	1	hsa-miR-328-3p	0.0337	0.2081	0.7183	-0.16	-0.16	N/A	2007, 2009, 2011
MPI	ENST00000566377.1	mannose phosphate isomerase 	1018	1	0	0	1	1	0	0	1	0	hsa-miR-328-3p	0.0080	0.0566	0.3159	-0.16	-0.29	N/A	NULL
XKR7	ENST00000562532.2	XK, Kell blood group complex subunit-related family, member 7 	5	1	0	1	0	2	1	1	0	1	hsa-miR-328-3p	0.0508	0.3474	1.6893	-0.15	-0.15	N/A	2011
SORL1	ENST00000260197.7	sortilin-related receptor, L(DLR class) A repeats containing 	40	1	0	0	1	0	0	0	0	0	hsa-miR-328-3p	0.0361	0.2309	0.9363	-0.15	-0.15	N/A	2011
SHISA6	ENST00000441885.3	shisa family member 6 	5	1	0	1	0	1	0	1	0	4	hsa-miR-328-3p	0.0537	0.3780	2.1297	-0.15	-0.15	N/A	2011
TMEM64	ENST00000458549.2	transmembrane protein 64 	200	1	0	1	0	0	0	0	0	0	hsa-miR-328-3p	0.0319	0.1873	0.5496	-0.15	-0.20	N/A	2011
RAD23B	ENST00000358015.3	RAD23 homolog B (S. cerevisiae) 	1012	1	0	0	1	0	0	0	0	0	hsa-miR-328-3p	0.0137	0.0935	0.4490	-0.15	-0.18	N/A	2007, 2009, 2011
WDTC1	ENST00000319394.3	WD and tetratricopeptide repeats 1 	137	1	0	1	0	0	0	0	0	0	hsa-miR-328-3p	0.0284	0.1909	0.9116	-0.15	-0.15	N/A	2007, 2009, 2011
GRM4	ENST00000538487.2	glutamate receptor, metabotropic 4 	5	1	0	1	0	1	0	0	1	4	hsa-miR-328-3p	0.0141	0.1010	0.6181	-0.14	-0.55	N/A	NULL
PRDM16	ENST00000511072.1	PR domain containing 16 	64	1	0	0	1	1	0	1	0	4	hsa-miR-328-3p	0.0330	0.2315	1.3029	-0.14	-0.18	N/A	2009, 2011
