Target gene	Representative transcript	Gene name	3P-seq tags + 5	Conserved sites total	Conserved 8mer sites	Conserved 7mer-m8 sites	Conserved 7mer-A1 sites	Poorly conserved sites total	Poorly conserved 8mer sites	Poorly conserved 7mer-m8 sites	Poorly conserved 7mer-A1 sites	6mer sites	Representative miRNA	Predicted occupancy (low miRNA)	Predicted occupancy (high miRNA)	Predicted occupancy (transfected miRNA)	Cumulative weighted context++ score	Total context++ score	Aggregate PCT	Previous TargetScan publication(s)
BAG2	ENST00000370693.5	BCL2-associated athanogene 2 	2237	1	1	0	0	4	0	1	3	0	hsa-miR-128-3p	0.0293	0.1894	0.7641	-0.59	-0.78	< 0.1	2005, 2007, 2009, 2011
PITHD1	ENST00000246151.4	PITH (C-terminal proteasome-interacting domain of thioredoxin-like) domain containing 1 	718	1	1	0	0	0	0	0	0	0	hsa-miR-128-3p	0.0271	0.1705	0.6020	-0.58	-0.58	0.44	2009, 2011
MIPOL1	ENST00000327441.7	mirror-image polydactyly 1 	45	2	0	2	0	1	0	0	1	2	hsa-miR-128-3p	0.0385	0.2533	1.0568	-0.57	-0.74	0.86	2005, 2007, 2009, 2011
VEGFC	ENST00000280193.2	vascular endothelial growth factor C 	267	1	1	0	0	0	0	0	0	1	hsa-miR-128-3p	0.0495	0.2871	0.8890	-0.57	-0.57	0.92	2009, 2011
SFXN2	ENST00000369893.5	sideroflexin 2 	547	2	1	0	1	0	0	0	0	1	hsa-miR-128-3p	0.0640	0.3585	1.0542	-0.57	-0.57	0.89	2009, 2011
SNX12	ENST00000374274.3	sorting nexin 12 	849	1	1	0	0	1	0	1	0	0	hsa-miR-128-3p	0.0775	0.3936	0.9489	-0.57	-0.57	0.86	NULL
MEGF11	ENST00000360698.4	multiple EGF-like-domains 11 	7	1	0	1	0	0	0	0	0	1	hsa-miR-128-3p	0.0189	0.1363	0.8627	-0.57	-0.57	0.64	2011
POGLUT1	ENST00000295588.4	protein O-glucosyltransferase 1 	262	1	1	0	0	1	1	0	0	2	hsa-miR-128-3p	0.0793	0.4371	1.3634	-0.56	-0.58	0.81	2007, 2009, 2011
BAZ2B	ENST00000392782.1	bromodomain adjacent to zinc finger domain, 2B 	25	2	0	2	0	1	1	0	0	1	hsa-miR-128-3p	0.0548	0.3568	1.5650	-0.56	-0.59	> 0.99	2011
TBC1D9B	ENST00000519746.1	TBC1 domain family, member 9B (with GRAM domain) 	5042	2	0	2	0	0	0	0	0	1	hsa-miR-128-3p	0.0322	0.2179	1.0294	-0.55	-0.56	0.72	2007, 2009, 2011
KCNJ6	ENST00000609713.1	potassium inwardly-rectifying channel, subfamily J, member 6 	5	2	0	0	2	4	0	4	0	1	hsa-miR-128-3p	0.0523	0.3685	2.1264	-0.55	-0.55	0.93	NULL
TTC39A	ENST00000530004.1	tetratricopeptide repeat domain 39A 	174	1	1	0	0	0	0	0	0	0	hsa-miR-128-3p	0.0401	0.2365	0.7058	-0.54	-0.54	0.90	2007, 2009, 2011
FAM184A	ENST00000338891.7	family with sequence similarity 184, member A 	167	1	1	0	0	0	0	0	0	0	hsa-miR-128-3p	0.0577	0.3144	0.8122	-0.54	-0.54	0.79	2005, 2007, 2009, 2011
YPEL3	ENST00000566134.1	yippee-like 3 (Drosophila) 	330	1	1	0	0	0	0	0	0	0	hsa-miR-128-3p	0.0130	0.0889	0.4318	-0.54	-0.54	0.75	2005, 2007, 2009, 2011
RND3	ENST00000375734.2	Rho family GTPase 3 	574	1	1	0	0	1	0	1	0	0	hsa-miR-128-3p	0.0152	0.1076	0.6119	-0.54	-0.60	0.35	2005, 2007, 2009, 2011
UBE2NL	ENST00000370494.1	ubiquitin-conjugating enzyme E2N-like 	5	1	1	0	0	0	0	0	0	0	hsa-miR-128-3p	0.0465	0.2766	0.9117	-0.53	-0.53	0.70	2011
C16orf52	ENST00000542527.2	chromosome 16 open reading frame 52 	102	2	1	1	0	1	0	1	0	0	hsa-miR-128-3p	0.0417	0.2841	1.3718	-0.53	-0.62	0.90	2011
ZBTB37	ENST00000367701.5	zinc finger and BTB domain containing 37 	213	3	2	1	0	8	1	2	5	3	hsa-miR-128-3p	0.1049	0.7303	3.9023	-0.53	-0.58	0.85	NULL
WEE1	ENST00000299613.6	WEE1 homolog (S. pombe) 	331	1	0	1	0	1	1	0	0	0	hsa-miR-128-3p	0.0338	0.2266	1.0034	-0.52	-0.52	0.62	2005, 2007
ONECUT2	ENST00000491143.2	one cut homeobox 2 	847	4	0	1	3	1	0	1	0	4	hsa-miR-128-3p	0.0568	0.3975	2.1784	-0.52	-0.54	> 0.99	2007, 2009, 2011
TCEANC2	ENST00000234827.1	transcription elongation factor A (SII) N-terminal and central domain containing 2 	78	1	1	0	0	1	0	1	0	0	hsa-miR-128-3p	0.0472	0.2785	0.8853	-0.52	-0.56	0.64	2009, 2011
CDIP1	ENST00000564828.1	cell death-inducing p53 target 1 	1857	1	1	0	0	0	0	0	0	0	hsa-miR-128-3p	0.0654	0.3569	1.0095	-0.51	-0.51	0.79	2005, 2007, 2009, 2011
SPG21	ENST00000204566.2	spastic paraplegia 21 (autosomal recessive, Mast syndrome) 	227	1	0	1	0	1	0	1	0	0	hsa-miR-128-3p	0.0209	0.1448	0.7440	-0.51	-0.51	0.35	2011
SH3BGRL2	ENST00000369838.4	SH3 domain binding glutamic acid-rich protein like 2 	32	1	1	0	0	0	0	0	0	0	hsa-miR-128-3p	0.0364	0.2210	0.7247	-0.51	-0.51	0.90	2005, 2007, 2009, 2011
H3F3B	ENST00000591890.1	H3 histone, family 3B (H3.3B) 	336	1	1	0	0	1	0	1	0	0	hsa-miR-128-3p	0.0611	0.3155	0.7648	-0.51	-0.70	0.89	2005, 2007, 2009, 2011
GRIN2D	ENST00000263269.3	glutamate receptor, ionotropic, N-methyl D-aspartate 2D 	5	4	0	1	3	3	0	0	3	1	hsa-miR-128-3p	0.0395	0.2815	1.6556	-0.51	-0.51	0.98	2009, 2011
PHB	ENST00000300408.3	prohibitin 	759	1	1	0	0	0	0	0	0	1	hsa-miR-128-3p	0.0601	0.3251	0.8380	-0.50	-0.50	0.85	2005, 2007, 2009, 2011
GMPS	ENST00000496455.2	guanine monphosphate synthase 	867	1	0	0	1	2	0	2	0	1	hsa-miR-128-3p	0.0439	0.3042	1.5951	-0.49	-0.53	0.77	NULL
RAB20	ENST00000267328.3	RAB20, member RAS oncogene family 	119	1	1	0	0	0	0	0	0	1	hsa-miR-128-3p	0.0228	0.1501	0.6389	-0.49	-0.49	0.56	2009, 2011
ZNF385D	ENST00000281523.2	zinc finger protein 385D 	5	1	1	0	0	0	0	0	0	1	hsa-miR-128-3p	0.0708	0.3839	1.0824	-0.48	-0.48	0.82	NULL
LAPTM4B	ENST00000445593.2	lysosomal protein transmembrane 4 beta 	11776	1	1	0	0	0	0	0	0	0	hsa-miR-128-3p	0.0275	0.1826	0.8127	-0.48	-0.48	0.25	2011
MOB1B	ENST00000309395.2	MOB kinase activator 1B 	54	2	0	1	1	2	0	2	0	1	hsa-miR-128-3p	0.0245	0.1771	1.1452	-0.48	-0.48	0.68	2005, 2007, 2009, 2011
BEND4	ENST00000504360.1	BEN domain containing 4 	187	2	1	0	1	3	0	3	0	1	hsa-miR-128-3p	0.0687	0.4357	1.8082	-0.48	-0.48	0.96	2009, 2011
ORC5	ENST00000297431.4	origin recognition complex, subunit 5 	407	1	1	0	0	0	0	0	0	0	hsa-miR-128-3p	0.0278	0.1778	0.6880	-0.47	-0.47	0.59	2005, 2007, 2009, 2011
CA10	ENST00000570565.1	carbonic anhydrase X 	5	2	0	1	1	0	0	0	0	0	hsa-miR-128-3p	0.0324	0.2185	0.9906	-0.47	-0.47	0.73	2005, 2007, 2011
SEC61A1	ENST00000243253.3	Sec61 alpha 1 subunit (S. cerevisiae) 	2966	1	0	1	0	2	0	1	1	1	hsa-miR-128-3p	0.0303	0.2096	1.0765	-0.46	-0.47	0.77	2005, 2007, 2009, 2011
NEK2	ENST00000366999.4	NIMA-related kinase 2 	72	1	1	0	0	0	0	0	0	0	hsa-miR-128-3p	0.0249	0.1594	0.5953	-0.46	-0.46	0.16	2005, 2007, 2009, 2011
ECE1	ENST00000415912.2	endothelin converting enzyme 1 	1166	1	0	1	0	1	0	1	0	1	hsa-miR-128-3p	0.0306	0.2053	0.9464	-0.46	-0.46	0.71	2009, 2011
SNAP25	ENST00000254976.2	synaptosomal-associated protein, 25kDa 	54	2	0	0	2	1	1	0	0	1	hsa-miR-128-3p	0.0159	0.1139	0.6805	-0.46	-0.61	0.96	2005, 2007, 2009, 2011
VANGL1	ENST00000355485.2	VANGL planar cell polarity protein 1 	721	3	1	1	1	1	1	0	0	0	hsa-miR-128-3p	0.0713	0.4195	1.4034	-0.46	-0.64	0.95	2007, 2009, 2011
GALNT7	ENST00000265000.4	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 7 (GalNAc-T7) 	953	1	0	0	1	1	0	0	1	1	hsa-miR-128-3p	0.0224	0.1600	0.9514	-0.46	-0.46	0.57	2005, 2007, 2009, 2011
MIER2	ENST00000264819.4	mesoderm induction early response 1, family member 2 	137	1	1	0	0	0	0	0	0	0	hsa-miR-128-3p	0.0567	0.3162	0.8901	-0.45	-0.45	0.89	2007, 2009, 2011
GTF2A2	ENST00000396060.2	general transcription factor IIA, 2, 12kDa 	1068	1	0	1	0	0	0	0	0	0	hsa-miR-128-3p	0.0169	0.1131	0.4921	-0.45	-0.45	0.66	2005, 2007, 2011
MOSPD3	ENST00000393950.2	motile sperm domain containing 3 	106	1	1	0	0	0	0	0	0	0	hsa-miR-128-3p	0.0223	0.1441	0.5543	-0.45	-0.45	0.74	2005, 2007, 2009, 2011
MINPP1	ENST00000371994.4	multiple inositol-polyphosphate phosphatase 1 	1079	1	1	0	0	0	0	0	0	0	hsa-miR-128-3p	0.0331	0.2096	0.7904	-0.44	-0.44	< 0.1	NULL
CASP8	ENST00000392259.2	caspase 8, apoptosis-related cysteine peptidase 	64	1	1	0	0	1	0	1	0	1	hsa-miR-128-3p	0.0271	0.1841	0.8894	-0.44	-0.44	< 0.1	NULL
PHGDH	ENST00000369409.4	phosphoglycerate dehydrogenase 	13089	1	1	0	0	0	0	0	0	0	hsa-miR-128-3p	0.0169	0.1152	0.5474	-0.44	-0.44	< 0.1	2009, 2011
EML1	ENST00000262233.6	echinoderm microtubule associated protein like 1 	371	1	1	0	0	0	0	0	0	2	hsa-miR-128-3p	0.0571	0.3233	0.9801	-0.44	-0.44	0.87	2009, 2011
NXT2	ENST00000372106.1	nuclear transport factor 2-like export factor 2 	390	1	1	0	0	0	0	0	0	0	hsa-miR-128-3p	0.0527	0.2986	0.8643	-0.44	-0.44	0.79	2005, 2007, 2009, 2011
GLTP	ENST00000318348.4	glycolipid transfer protein 	5	1	1	0	0	0	0	0	0	0	hsa-miR-128-3p	0.0735	0.3698	0.8172	-0.43	-0.43	0.90	2005, 2007, 2009, 2011
UBE2N	ENST00000550657.1	ubiquitin-conjugating enzyme E2N 	321	1	1	0	0	0	0	0	0	1	hsa-miR-128-3p	0.0547	0.3080	0.8813	-0.43	-0.46	0.92	2005, 2007, 2009, 2005, 2007, 2009, 2011
NHS	ENST00000380060.3	Nance-Horan syndrome (congenital cataracts and dental anomalies) 	72	1	1	0	0	1	0	1	0	1	hsa-miR-128-3p	0.0593	0.3734	1.5542	-0.43	-0.43	0.81	2005, 2007, 2009, 2011
CABLES2	ENST00000279101.5	Cdk5 and Abl enzyme substrate 2 	450	2	1	1	0	0	0	0	0	1	hsa-miR-128-3p	0.0820	0.4465	1.2816	-0.42	-0.43	0.94	2005, 2007, 2009, 2011
RNF38	ENST00000259605.6	ring finger protein 38 	348	2	0	1	1	1	0	0	1	1	hsa-miR-128-3p	0.0208	0.1471	0.8374	-0.42	-0.43	0.86	2005, 2007, 2009, 2011
AKIRIN1	ENST00000432648.3	akirin 1 	798	3	0	0	3	0	0	0	0	0	hsa-miR-128-3p	0.0299	0.2074	1.0648	-0.42	-0.47	0.97	2007
CCDC71	ENST00000321895.6	coiled-coil domain containing 71 	64	1	1	0	0	1	1	0	0	0	hsa-miR-128-3p	0.0142	0.0960	0.4396	-0.42	-0.55	0.91	2007, 2009, 2011
PHF6	ENST00000332070.3	PHD finger protein 6 	630	3	0	3	0	0	0	0	0	0	hsa-miR-128-3p	0.0318	0.2227	1.2102	-0.42	-0.42	0.39	2005, 2007, 2011
IGLON5	ENST00000270642.8	IgLON family member 5 	5	1	1	0	0	2	1	0	1	0	hsa-miR-128-3p	0.0414	0.2526	0.8831	-0.42	-0.65	0.94	2009, 2011
EFR3A	ENST00000254624.5	EFR3 homolog A (S. cerevisiae) 	372	2	0	2	0	1	0	0	1	1	hsa-miR-128-3p	0.0286	0.1990	1.0851	-0.42	-0.57	0.73	2005, 2007, 2009, 2011
G6PC3	ENST00000269097.4	glucose 6 phosphatase, catalytic, 3 	429	1	1	0	0	0	0	0	0	0	hsa-miR-128-3p	0.0180	0.1198	0.5209	-0.42	-0.42	0.54	2011
BLOC1S5	ENST00000397457.2	biogenesis of lysosomal organelles complex-1, subunit 5, muted 	187	1	1	0	0	2	0	2	0	1	hsa-miR-128-3p	0.0368	0.2315	0.8709	-0.42	-0.46	0.76	2009, 2011
PPP1CC	ENST00000335007.5	protein phosphatase 1, catalytic subunit, gamma isozyme 	3739	1	1	0	0	0	0	0	0	0	hsa-miR-128-3p	0.0584	0.3136	0.7708	-0.42	-0.42	0.81	2005, 2007, 2009, 2011
CXADR	ENST00000356275.6	coxsackie virus and adenovirus receptor 	56	1	1	0	0	0	0	0	0	0	hsa-miR-128-3p	0.0599	0.3268	0.8679	-0.41	-0.41	0.87	2011
PPP4C	ENST00000279387.7	protein phosphatase 4, catalytic subunit 	59	1	1	0	0	0	0	0	0	0	hsa-miR-128-3p	0.0406	0.2413	0.7513	-0.41	-0.41	0.76	2005, 2007, 2009, 2011
NREP	ENST00000379671.3	neuronal regeneration related protein 	409	1	1	0	0	0	0	0	0	0	hsa-miR-128-3p	0.0306	0.1851	0.5856	-0.41	-0.47	0.83	2005, 2007, 2009, 2011
SH2D3C	ENST00000373277.4	SH2 domain containing 3C 	5	1	1	0	0	0	0	0	0	0	hsa-miR-128-3p	0.0313	0.2056	0.8686	-0.41	-0.41	0.53	2005, 2007, 2009, 2011
VANGL2	ENST00000368061.2	VANGL planar cell polarity protein 2 	560	1	1	0	0	1	0	1	0	1	hsa-miR-128-3p	0.0701	0.4040	1.3734	-0.41	-0.41	0.88	2007, 2009, 2011
POGZ	ENST00000392723.1	pogo transposable element with ZNF domain 	170	1	0	1	0	0	0	0	0	0	hsa-miR-128-3p	0.0375	0.2460	1.0818	-0.41	-0.41	0.69	2009, 2011
TMX1	ENST00000457354.2	thioredoxin-related transmembrane protein 1 	3176	2	0	1	1	2	0	1	1	1	hsa-miR-128-3p	0.0154	0.1078	0.5827	-0.40	-0.45	0.93	2007, 2009, 2011
RNF182	ENST00000488300.1	ring finger protein 182 	1122	1	1	0	0	0	0	0	0	1	hsa-miR-128-3p	0.0261	0.1673	0.6581	-0.40	-0.48	0.48	2009, 2011
PLAGL1	ENST00000360537.2	pleiomorphic adenoma gene-like 1 	40	1	0	1	0	0	0	0	0	0	hsa-miR-128-3p	0.0244	0.1686	0.8633	-0.40	-0.40	0.12	2011
RYBP	ENST00000477973.2	RING1 and YY1 binding protein 	342	2	1	1	0	1	1	0	0	2	hsa-miR-128-3p	0.0473	0.2959	1.1240	-0.40	-0.46	0.94	2005, 2007, 2009, 2011
MDN1	ENST00000369393.3	MDN1, midasin homolog (yeast) 	42	1	1	0	0	0	0	0	0	2	hsa-miR-128-3p	0.0653	0.3873	1.4256	-0.40	-0.40	0.90	NULL
ISL1	ENST00000230658.7	ISL LIM homeobox 1 	67	1	1	0	0	0	0	0	0	0	hsa-miR-128-3p	0.0407	0.2389	0.7019	-0.40	-0.40	0.82	2005, 2007, 2009, 2011
FNDC4	ENST00000264703.3	fibronectin type III domain containing 4 	418	1	1	0	0	0	0	0	0	0	hsa-miR-128-3p	0.0273	0.1740	0.6570	-0.40	-0.40	0.54	2009, 2011
CCDC92	ENST00000238156.3	coiled-coil domain containing 92 	105	1	1	0	0	1	0	1	0	0	hsa-miR-128-3p	0.0189	0.1258	0.5484	-0.40	-0.42	0.90	2007, 2009, 2011
RGS17	ENST00000367225.2	regulator of G-protein signaling 17 	11	1	0	0	1	1	0	0	1	2	hsa-miR-128-3p	0.0257	0.1824	1.0596	-0.40	-0.45	0.78	2009, 2011
GATA6	ENST00000269216.3	GATA binding protein 6 	691	1	1	0	0	1	0	1	0	2	hsa-miR-128-3p	0.0469	0.2723	0.8189	-0.40	-0.42	0.91	2009, 2011
KCNK10	ENST00000340700.5	potassium channel, subfamily K, member 10 	5	2	0	2	0	0	0	0	0	0	hsa-miR-128-3p	0.0228	0.1566	0.7725	-0.40	-0.40	0.97	2005, 2007, 2009, 2011
DIRAS1	ENST00000323469.4	DIRAS family, GTP-binding RAS-like 1 	49	1	1	0	0	0	0	0	0	1	hsa-miR-128-3p	0.0441	0.2583	0.7849	-0.40	-0.40	0.87	2005, 2007, 2009, 2011
XCR1	ENST00000309285.3	chemokine (C motif) receptor 1 	5	1	1	0	0	2	0	2	0	0	hsa-miR-128-3p	0.0289	0.2017	1.0823	-0.40	-0.40	< 0.1	NULL
CABP1	ENST00000453000.1	calcium binding protein 1 	13	1	1	0	0	0	0	0	0	0	hsa-miR-128-3p	0.0392	0.2317	0.6902	-0.39	-0.39	0.72	2005, 2007, 2009, 2011
THAP11	ENST00000303596.1	THAP domain containing 11 	1536	1	0	1	0	0	0	0	0	0	hsa-miR-128-3p	0.0166	0.1124	0.5193	-0.39	-0.39	0.40	2009, 2011
RGL2	ENST00000497454.1	ral guanine nucleotide dissociation stimulator-like 2 	150	1	1	0	0	0	0	0	0	1	hsa-miR-128-3p	0.0244	0.1564	0.5950	-0.39	-0.43	0.56	2011
ALDH4A1	ENST00000375341.3	aldehyde dehydrogenase 4 family, member A1 	520	1	1	0	0	2	0	1	1	0	hsa-miR-128-3p	0.0267	0.1831	0.9343	-0.39	-0.39	0.64	2009, 2011
SEC24A	ENST00000398844.2	SEC24 family, member A (S. cerevisiae) 	679	1	1	0	0	0	0	0	0	0	hsa-miR-128-3p	0.0445	0.2623	0.8222	-0.39	-0.39	0.73	2007, 2009, 2011
TFEB	ENST00000230323.4	transcription factor EB 	5	1	0	1	0	1	0	1	0	0	hsa-miR-128-3p	0.0124	0.0879	0.4947	-0.39	-0.39	0.48	2005, 2007, 2011
RAP1B	ENST00000250559.9	RAP1B, member of RAS oncogene family 	3599	1	1	0	0	0	0	0	0	1	hsa-miR-128-3p	0.0427	0.2613	0.9193	-0.39	-0.39	0.68	2005, 2007, 2009, 2011
F3	ENST00000334047.7	coagulation factor III (thromboplastin, tissue factor) 	13568	1	1	0	0	1	0	1	0	0	hsa-miR-128-3p	0.0090	0.0630	0.3458	-0.39	-0.42	0.46	2009, 2011
SLC35F3	ENST00000366618.3	solute carrier family 35, member F3 	5	1	1	0	0	0	0	0	0	0	hsa-miR-128-3p	0.0400	0.2379	0.7430	-0.38	-0.38	0.75	2009, 2011
ARRDC4	ENST00000268042.6	arrestin domain containing 4 	10	2	0	1	1	1	0	1	0	0	hsa-miR-128-3p	0.0203	0.1438	0.8347	-0.38	-0.38	0.61	2005, 2007, 2009, 2011
FAM84B	ENST00000304916.3	family with sequence similarity 84, member B 	45	2	0	1	1	0	0	0	0	3	hsa-miR-128-3p	0.0365	0.2527	1.3277	-0.38	-0.38	0.90	2007, 2009, 2011
CYP39A1	ENST00000275016.2	cytochrome P450, family 39, subfamily A, polypeptide 1 	152	1	1	0	0	0	0	0	0	0	hsa-miR-128-3p	0.0145	0.0981	0.4530	-0.38	-0.38	< 0.1	2007, 2009, 2011
SP1	ENST00000426431.2	Sp1 transcription factor 	402	2	1	1	0	0	0	0	0	2	hsa-miR-128-3p	0.0428	0.2697	1.0640	-0.38	-0.43	0.85	2005, 2007, 2009, 2011
BMI1	ENST00000376663.3	BMI1 polycomb ring finger oncogene 	200	1	1	0	0	0	0	0	0	0	hsa-miR-128-3p	0.0628	0.3283	0.7811	-0.38	-0.40	0.82	2007, 2009, 2011
PDE7B	ENST00000308191.6	phosphodiesterase 7B 	148	1	1	0	0	1	0	0	1	2	hsa-miR-128-3p	0.0246	0.1592	0.6299	-0.38	-0.45	0.91	2005, 2007, 2009, 2011
NEUROD6	ENST00000297142.3	neuronal differentiation 6 	5	1	1	0	0	0	0	0	0	0	hsa-miR-128-3p	0.0268	0.1696	0.6092	-0.38	-0.38	0.67	2005, 2007, 2009, 2011
PNRC2	ENST00000334351.7	proline-rich nuclear receptor coactivator 2 	100	1	1	0	0	0	0	0	0	0	hsa-miR-128-3p	0.0113	0.0778	0.3841	-0.37	-0.37	0.71	2009, 2011
RCAN2	ENST00000330430.6	regulator of calcineurin 2 	32	2	1	0	1	0	0	0	0	0	hsa-miR-128-3p	0.0347	0.2266	0.9256	-0.37	-0.44	0.82	2007, 2009, 2011
SLC6A1	ENST00000287766.4	solute carrier family 6 (neurotransmitter transporter), member 1 	5	3	0	1	2	1	0	0	1	1	hsa-miR-128-3p	0.0276	0.1926	1.0211	-0.37	-0.37	0.95	2005, 2007, 2009, 2011
PDLIM2	ENST00000409141.1	PDZ and LIM domain 2 (mystique) 	426	1	0	1	0	1	0	0	1	1	hsa-miR-128-3p	0.0087	0.0630	0.3946	-0.37	-0.37	0.20	2011
RPS6KA5	ENST00000261991.3	ribosomal protein S6 kinase, 90kDa, polypeptide 5 	64	3	0	2	1	1	0	0	1	1	hsa-miR-128-3p	0.0306	0.2096	1.0324	-0.37	-0.75	0.98	2005, 2007, 2009, 2011
SREK1	ENST00000334121.6	splicing regulatory glutamine/lysine-rich protein 1 	316	2	0	1	1	0	0	0	0	2	hsa-miR-128-3p	0.0212	0.1462	0.7360	-0.37	-0.42	0.76	2005, 2007
