Target gene	Representative transcript	Gene name	3P-seq tags + 5	Total sites	8mer sites	7mer-m8 sites	7mer-A1 sites	6mer sites	Representative miRNA	Predicted occupancy (low miRNA)	Predicted occupancy (high miRNA)	Predicted occupancy (transfected miRNA)	Cumulative weighted context++ score	Total context++ score	Aggregate PCT
PKP2	ENST00000340811.4	plakophilin 2 	265	2	0	1	1	0	hsa-miR-1292-5p				-0.39	-0.39	N/A
ZDHHC22	ENST00000319374.4	zinc finger, DHHC-type containing 22 	32	1	1	0	0	0	hsa-miR-1292-5p				-0.39	-0.39	N/A
BOD1L2	ENST00000585477.1	biorientation of chromosomes in cell division 1-like 2 	5	1	1	0	0	1	hsa-miR-1292-5p				-0.39	-0.39	N/A
RP4-758J18.2	ENST00000444362.1	HCG20425, isoform CRA_a; Uncharacterized protein; cDNA FLJ53815  	283	1	1	0	0	0	hsa-miR-1292-5p				-0.39	-0.39	N/A
FAM118A	ENST00000216214.3	family with sequence similarity 118, member A 	202	1	1	0	0	1	hsa-miR-1292-5p				-0.39	-0.39	N/A
SRSF6	ENST00000244020.3	serine/arginine-rich splicing factor 6 	1914	1	1	0	0	0	hsa-miR-1292-5p				-0.38	-0.45	N/A
HAND2	ENST00000359562.4	heart and neural crest derivatives expressed 2 	30	1	0	1	0	1	hsa-miR-1292-5p				-0.38	-0.38	N/A
LCE3D	ENST00000368787.3	late cornified envelope 3D 	5	1	0	0	1	1	hsa-miR-1292-5p				-0.38	-0.38	N/A
SAMD10	ENST00000369886.3	sterile alpha motif domain containing 10 	45	2	0	1	1	0	hsa-miR-1292-5p				-0.38	-0.38	N/A
METTL7B	ENST00000394252.3	methyltransferase like 7B 	58	1	1	0	0	0	hsa-miR-1292-5p				-0.38	-0.64	N/A
SYCE1L	ENST00000378644.4	synaptonemal complex central element protein 1-like 	20	1	0	1	0	0	hsa-miR-1292-5p				-0.38	-0.38	N/A
SERTAD2	ENST00000313349.3	SERTA domain containing 2 	119	1	1	0	0	0	hsa-miR-1292-5p				-0.38	-0.38	N/A
ADAMTS18	ENST00000282849.5	ADAM metallopeptidase with thrombospondin type 1 motif, 18 	7	1	1	0	0	0	hsa-miR-1292-5p				-0.38	-0.38	N/A
PSORS1C2	ENST00000259845.4	psoriasis susceptibility 1 candidate 2 	5	1	0	0	1	1	hsa-miR-1292-5p				-0.38	-0.38	N/A
PTGS2	ENST00000367468.5	prostaglandin-endoperoxide synthase 2 (prostaglandin G/H synthase and cyclooxygenase) 	263	1	1	0	0	0	hsa-miR-1292-5p				-0.38	-0.39	N/A
AOC3	ENST00000591562.1	amine oxidase, copper containing 3 	59	1	0	1	0	2	hsa-miR-1292-5p				-0.38	-0.38	N/A
GCN1L1	ENST00000300648.6	GCN1 general control of amino-acid synthesis 1-like 1 (yeast) 	1283	2	1	0	1	0	hsa-miR-1292-5p				-0.37	-0.39	N/A
CD151	ENST00000322008.4	CD151 molecule (Raph blood group) 	13919	1	1	0	0	0	hsa-miR-1292-5p				-0.37	-0.37	N/A
PARD6B	ENST00000371610.2	par-6 family cell polarity regulator beta 	277	2	0	0	2	1	hsa-miR-1292-5p				-0.37	-0.37	N/A
TPBGL	ENST00000562197.2	trophoblast glycoprotein-like 	8	2	0	2	0	0	hsa-miR-1292-5p				-0.36	-0.36	N/A
PMM1	ENST00000216259.7	phosphomannomutase 1 	1753	1	0	0	1	1	hsa-miR-1292-5p				-0.36	-0.37	N/A
KCNAB2	ENST00000378097.1	potassium voltage-gated channel, shaker-related subfamily, beta member 2 	67	2	0	1	1	1	hsa-miR-1292-5p				-0.36	-0.36	N/A
C1orf213	ENST00000335648.3	chromosome 1 open reading frame 213 	49	2	0	0	2	0	hsa-miR-1292-5p				-0.36	-0.36	N/A
MBOAT7	ENST00000391754.1	membrane bound O-acyltransferase domain containing 7 	405	1	0	1	0	0	hsa-miR-1292-5p				-0.36	-0.37	N/A
HSPA1B	ENST00000375650.3	heat shock 70kDa protein 1B 	488	1	0	1	0	0	hsa-miR-1292-5p				-0.36	-0.36	N/A
BSND	ENST00000371265.4	Bartter syndrome, infantile, with sensorineural deafness (Barttin) 	5	1	1	0	0	3	hsa-miR-1292-5p				-0.35	-0.35	N/A
NSFL1C	ENST00000353088.2	NSFL1 (p97) cofactor (p47) 	397	2	0	0	2	1	hsa-miR-1292-5p				-0.35	-0.36	N/A
MARCKSL1	ENST00000329421.7	MARCKS-like 1 	1382	1	0	1	0	0	hsa-miR-1292-5p				-0.35	-0.35	N/A
SYVN1	ENST00000294256.8	synovial apoptosis inhibitor 1, synoviolin 	95	2	1	0	1	0	hsa-miR-1292-5p				-0.35	-0.35	N/A
SPINK9	ENST00000377906.1	serine peptidase inhibitor, Kazal type 9 	5	1	0	0	1	0	hsa-miR-1292-5p				-0.35	-0.35	N/A
SIM1	ENST00000369208.3	single-minded homolog 1 (Drosophila) 	104	2	0	1	1	1	hsa-miR-1292-5p				-0.35	-0.36	N/A
CPEB3	ENST00000412050.4	cytoplasmic polyadenylation element binding protein 3 	48	1	1	0	0	1	hsa-miR-1292-5p				-0.35	-0.35	N/A
TMEM134	ENST00000393877.3	transmembrane protein 134 	826	1	0	1	0	0	hsa-miR-1292-5p				-0.35	-0.35	N/A
UBE2Z	ENST00000360943.5	ubiquitin-conjugating enzyme E2Z 	3688	2	0	0	2	2	hsa-miR-1292-5p				-0.35	-0.35	N/A
LPO	ENST00000262290.4	lactoperoxidase 	5	1	0	1	0	1	hsa-miR-1292-5p				-0.35	-0.35	N/A
CLCNKB	ENST00000375679.4	chloride channel, voltage-sensitive Kb 	5	2	0	0	2	0	hsa-miR-1292-5p				-0.35	-0.35	N/A
SPOCK1	ENST00000394945.1	sparc/osteonectin, cwcv and kazal-like domains proteoglycan (testican) 1 	935	3	0	0	3	1	hsa-miR-1292-5p				-0.35	-0.35	N/A
CASP14	ENST00000427043.3	caspase 14, apoptosis-related cysteine peptidase 	5	2	0	1	1	0	hsa-miR-1292-5p				-0.35	-0.35	N/A
CREBZF	ENST00000398294.2	CREB/ATF bZIP transcription factor 	1115	2	0	1	1	0	hsa-miR-1292-5p				-0.35	-0.40	N/A
MANEAL	ENST00000397631.3	mannosidase, endo-alpha-like 	381	1	1	0	0	0	hsa-miR-1292-5p				-0.34	-0.34	N/A
LUC7L	ENST00000337351.4	LUC7-like (S. cerevisiae) 	898	3	0	0	3	71	hsa-miR-1292-5p				-0.34	-0.60	N/A
UNC119B	ENST00000344651.4	unc-119 homolog B (C. elegans) 	5	3	0	0	3	0	hsa-miR-1292-5p				-0.34	-0.34	N/A
MAFA	ENST00000333480.2	v-maf avian musculoaponeurotic fibrosarcoma oncogene homolog A 	7	1	1	0	0	0	hsa-miR-1292-5p				-0.34	-0.34	N/A
RPS8	ENST00000396651.3	ribosomal protein S8 	2438	1	0	0	1	0	hsa-miR-1292-5p				-0.34	-0.35	N/A
SPRR2B	ENST00000368755.2	small proline-rich protein 2B 	5	1	0	0	1	1	hsa-miR-1292-5p				-0.34	-0.34	N/A
CD3G	ENST00000532917.1	CD3g molecule, gamma (CD3-TCR complex) 	9	2	0	0	2	0	hsa-miR-1292-5p				-0.34	-0.34	N/A
LCE1E	ENST00000368770.3	late cornified envelope 1E 	5	1	0	1	0	0	hsa-miR-1292-5p				-0.34	-0.34	N/A
NHLRC2	ENST00000369301.3	NHL repeat containing 2 	368	1	1	0	0	0	hsa-miR-1292-5p				-0.34	-0.36	N/A
PCSK2	ENST00000377899.1	proprotein convertase subtilisin/kexin type 2 	9	1	1	0	0	0	hsa-miR-1292-5p				-0.33	-0.33	N/A
KCTD15	ENST00000284006.6	potassium channel tetramerization domain containing 15 	2483	2	1	0	1	0	hsa-miR-1292-5p				-0.33	-0.37	N/A
TNFSF15	ENST00000374045.4	tumor necrosis factor (ligand) superfamily, member 15 	29	2	0	0	2	3	hsa-miR-1292-5p				-0.33	-0.33	N/A
TIMP1	ENST00000218388.4	TIMP metallopeptidase inhibitor 1 	8292	1	0	0	1	0	hsa-miR-1292-5p				-0.33	-0.33	N/A
CCDC127	ENST00000296824.3	coiled-coil domain containing 127 	615	3	0	1	2	0	hsa-miR-1292-5p				-0.33	-0.38	N/A
IGHMBP2	ENST00000255078.3	immunoglobulin mu binding protein 2 	34	1	1	0	0	2	hsa-miR-1292-5p				-0.33	-0.35	N/A
RBM33	ENST00000341148.3	RNA binding motif protein 33 	444	3	0	1	2	1	hsa-miR-1292-5p				-0.33	-0.33	N/A
RBP4	ENST00000371464.3	retinol binding protein 4, plasma 	17402	2	1	0	1	0	hsa-miR-1292-5p				-0.33	-0.58	N/A
GAD2	ENST00000376261.3	glutamate decarboxylase 2 (pancreatic islets and brain, 65kDa) 	5	1	1	0	0	0	hsa-miR-1292-5p				-0.33	-0.33	N/A
ANGEL1	ENST00000251089.2	angel homolog 1 (Drosophila) 	299	2	0	1	1	1	hsa-miR-1292-5p				-0.33	-0.37	N/A
PRICKLE3	ENST00000376317.3	prickle homolog 3 (Drosophila) 	117	1	1	0	0	0	hsa-miR-1292-5p				-0.33	-0.38	N/A
SOX1	ENST00000330949.1	SRY (sex determining region Y)-box 1 	5	1	1	0	0	0	hsa-miR-1292-5p				-0.33	-0.33	N/A
SALL1	ENST00000566102.1	sal-like 1 (Drosophila) 	95	1	0	0	1	1	hsa-miR-1292-5p				-0.33	-0.33	N/A
CLCN6	ENST00000312413.6	chloride channel, voltage-sensitive 6 	227	3	0	0	3	0	hsa-miR-1292-5p				-0.32	-0.32	N/A
FN3K	ENST00000300784.7	fructosamine 3 kinase 	141	1	0	1	0	1	hsa-miR-1292-5p				-0.32	-0.32	N/A
CD164L2	ENST00000374027.3	CD164 sialomucin-like 2 	5	1	0	1	0	0	hsa-miR-1292-5p				-0.32	-0.32	N/A
LIN52	ENST00000555028.1	lin-52 homolog (C. elegans) 	116	2	0	0	2	0	hsa-miR-1292-5p				-0.32	-0.32	N/A
SH2D1B	ENST00000367929.2	SH2 domain containing 1B 	5	2	0	0	2	0	hsa-miR-1292-5p				-0.32	-0.32	N/A
GNG12	ENST00000370982.3	guanine nucleotide binding protein (G protein), gamma 12 	1362	2	0	0	2	0	hsa-miR-1292-5p				-0.32	-0.34	N/A
GPR116	ENST00000283296.7	G protein-coupled receptor 116 	5	1	0	0	1	1	hsa-miR-1292-5p				-0.32	-0.32	N/A
CHCHD5	ENST00000409719.1	coiled-coil-helix-coiled-coil-helix domain containing 5 	1577	2	0	1	1	1	hsa-miR-1292-5p				-0.32	-0.36	N/A
HEYL	ENST00000372852.3	hairy/enhancer-of-split related with YRPW motif-like 	37	2	1	0	1	1	hsa-miR-1292-5p				-0.32	-0.44	N/A
GDNF	ENST00000326524.2	glial cell derived neurotrophic factor 	7	3	0	1	2	0	hsa-miR-1292-5p				-0.32	-0.32	N/A
ZNF611	ENST00000543227.1	zinc finger protein 611 	7	1	1	0	0	2	hsa-miR-1292-5p				-0.32	-0.33	N/A
FAM86B2	ENST00000393715.3	family with sequence similarity 86, member B2 	5	1	0	1	0	0	hsa-miR-1292-5p				-0.31	-0.31	N/A
FGF20	ENST00000180166.5	fibroblast growth factor 20 	5	1	0	0	1	1	hsa-miR-1292-5p				-0.31	-0.31	N/A
SLC41A1	ENST00000367137.3	solute carrier family 41 (magnesium transporter), member 1 	300	1	1	0	0	2	hsa-miR-1292-5p				-0.31	-0.32	N/A
ELOF1	ENST00000252445.3	elongation factor 1 homolog (S. cerevisiae) 	275	1	0	1	0	1	hsa-miR-1292-5p				-0.31	-0.31	N/A
CTU1	ENST00000421832.2	cytosolic thiouridylase subunit 1 	170	2	0	2	0	0	hsa-miR-1292-5p				-0.31	-0.34	N/A
ZNF280C	ENST00000370978.4	zinc finger protein 280C 	138	2	0	0	2	0	hsa-miR-1292-5p				-0.31	-0.31	N/A
GLIS1	ENST00000312233.2	GLIS family zinc finger 1 	40	1	0	1	0	0	hsa-miR-1292-5p				-0.31	-0.31	N/A
NDE1	ENST00000396353.2	nudE neurodevelopment protein 1 	25	1	1	0	0	0	hsa-miR-1292-5p				-0.31	-0.31	N/A
KRT76	ENST00000332411.2	keratin 76 	5	2	0	0	2	1	hsa-miR-1292-5p				-0.31	-0.31	N/A
CEP104	ENST00000378230.3	centrosomal protein 104kDa 	73	1	1	0	0	0	hsa-miR-1292-5p				-0.31	-0.31	N/A
MRPL44	ENST00000258383.3	mitochondrial ribosomal protein L44 	347	2	1	0	1	0	hsa-miR-1292-5p				-0.31	-0.63	N/A
CCSER1	ENST00000509176.1	coiled-coil serine-rich protein 1 	5	2	0	0	2	0	hsa-miR-1292-5p				-0.31	-0.31	N/A
EHD2	ENST00000263277.3	EH-domain containing 2 	2072	1	1	0	0	0	hsa-miR-1292-5p				-0.31	-0.31	N/A
NR1I2	ENST00000393716.2	nuclear receptor subfamily 1, group I, member 2 	14	2	0	1	1	0	hsa-miR-1292-5p				-0.31	-0.31	N/A
NT5M	ENST00000389022.4	5',3'-nucleotidase, mitochondrial 	534	2	0	0	2	1	hsa-miR-1292-5p				-0.31	-0.31	N/A
PRDM15	ENST00000422911.1	PR domain containing 15 	328	1	1	0	0	0	hsa-miR-1292-5p				-0.31	-0.31	N/A
MGST2	ENST00000506797.1	microsomal glutathione S-transferase 2 	595	1	0	0	1	0	hsa-miR-1292-5p				-0.31	-0.31	N/A
F2	ENST00000311907.5	coagulation factor II (thrombin) 	3672	1	0	0	1	0	hsa-miR-1292-5p				-0.31	-0.31	N/A
USMG5	ENST00000369825.1	up-regulated during skeletal muscle growth 5 homolog (mouse) 	5	1	0	0	1	0	hsa-miR-1292-5p				-0.31	-0.31	N/A
SMO	ENST00000249373.3	smoothened, frizzled family receptor 	142	2	0	0	2	0	hsa-miR-1292-5p				-0.30	-0.30	N/A
ISOC2	ENST00000438389.2	isochorismatase domain containing 2 	1602	1	0	1	0	0	hsa-miR-1292-5p				-0.30	-0.30	N/A
CTD-3148I10.1	ENST00000576655.1	Homo sapiens uncharacterized LOC100507003 (LOC100507003), mRNA. 	12	1	0	0	1	0	hsa-miR-1292-5p				-0.30	-0.30	N/A
TOMM6	ENST00000398884.3	translocase of outer mitochondrial membrane 6 homolog (yeast) 	2735	1	0	0	1	0	hsa-miR-1292-5p				-0.30	-0.30	N/A
SLC30A8	ENST00000427715.2	solute carrier family 30 (zinc transporter), member 8 	5	2	1	0	1	0	hsa-miR-1292-5p				-0.30	-0.30	N/A
HOXD3	ENST00000249440.3	homeobox D3 	23	1	0	1	0	0	hsa-miR-1292-5p				-0.30	-0.30	N/A
ALAD	ENST00000409155.3	aminolevulinate dehydratase 	1922	1	0	1	0	0	hsa-miR-1292-5p				-0.30	-0.30	N/A
PLEKHA2	ENST00000420274.1	pleckstrin homology domain containing, family A (phosphoinositide binding specific) member 2 	3303	1	0	1	0	1	hsa-miR-1292-5p				-0.30	-0.30	N/A
ADORA1	ENST00000367235.1	adenosine A1 receptor 	5	1	1	0	0	0	hsa-miR-1292-5p				-0.30	-0.30	N/A
EPHB4	ENST00000360620.3	EPH receptor B4 	350	2	0	2	0	0	hsa-miR-1292-5p				-0.30	-0.34	N/A
DEDD	ENST00000368006.3	death effector domain containing 	239	2	0	0	2	0	hsa-miR-1292-5p				-0.30	-0.39	N/A
STX16	ENST00000355957.5	syntaxin 16 	756	1	0	1	0	1	hsa-miR-1292-5p				-0.30	-0.31	N/A
ATRAID	ENST00000405489.3	all-trans retinoic acid-induced differentiation factor 	133	1	0	0	1	0	hsa-miR-1292-5p				-0.30	-0.30	N/A
CRTC3	ENST00000420329.2	CREB regulated transcription coactivator 3 	612	3	0	0	3	0	hsa-miR-1292-5p				-0.30	-0.30	N/A
SGSM3	ENST00000248929.9	small G protein signaling modulator 3 	349	1	0	1	0	0	hsa-miR-1292-5p				-0.29	-0.29	N/A
DCTN3	ENST00000447983.2	dynactin 3 (p22) 	1816	2	0	0	2	1	hsa-miR-1292-5p				-0.29	-0.29	N/A
RGAG4	ENST00000545866.1	retrotransposon gag domain containing 4 	34	2	0	0	2	0	hsa-miR-1292-5p				-0.29	-0.29	N/A
RNPEP	ENST00000295640.4	arginyl aminopeptidase (aminopeptidase B) 	203	1	0	0	1	1	hsa-miR-1292-5p				-0.29	-0.29	N/A
ZFP69B	ENST00000484445.1	ZFP69 zinc finger protein B 	176	2	0	0	2	2	hsa-miR-1292-5p				-0.29	-0.30	N/A
FKBP9	ENST00000242209.4	FK506 binding protein 9, 63 kDa 	43	2	0	0	2	0	hsa-miR-1292-5p				-0.29	-0.29	N/A
MPPED1	ENST00000417669.2	metallophosphoesterase domain containing 1 	51	1	1	0	0	1	hsa-miR-1292-5p				-0.29	-0.29	N/A
C3orf22	ENST00000318225.2	chromosome 3 open reading frame 22 	5	1	0	0	1	0	hsa-miR-1292-5p				-0.29	-0.29	N/A
SMIM2	ENST00000400419.1	small integral membrane protein 2 	5	1	0	0	1	0	hsa-miR-1292-5p				-0.29	-0.29	N/A
SMAP2	ENST00000539317.1	small ArfGAP2 	1062	1	1	0	0	0	hsa-miR-1292-5p				-0.29	-0.31	N/A
IL1RN	ENST00000361779.3	interleukin 1 receptor antagonist 	19	1	0	0	1	1	hsa-miR-1292-5p				-0.29	-0.29	N/A
PRCD	ENST00000592014.1	progressive rod-cone degeneration 	5	1	0	0	1	2	hsa-miR-1292-5p				-0.29	-0.38	N/A
ZMAT2	ENST00000274712.3	zinc finger, matrin-type 2 	1926	1	0	0	1	0	hsa-miR-1292-5p				-0.29	-0.29	N/A
GSTO2	ENST00000369707.2	glutathione S-transferase omega 2 	97	2	0	0	2	1	hsa-miR-1292-5p				-0.29	-0.34	N/A
TMEM150C	ENST00000515780.2	transmembrane protein 150C 	8	2	0	0	2	1	hsa-miR-1292-5p				-0.29	-0.29	N/A
