Target gene	Representative transcript	Gene name	3P-seq tags + 5	Total sites	8mer sites	7mer-m8 sites	7mer-A1 sites	6mer sites	Representative miRNA	Predicted occupancy (low miRNA)	Predicted occupancy (high miRNA)	Predicted occupancy (transfected miRNA)	Cumulative weighted context++ score	Total context++ score	Aggregate PCT
CLUL1	ENST00000540035.1	clusterin-like 1 (retinal) 	80	1	1	0	0	0	hsa-miR-3173-3p				-0.66	-0.66	N/A
C20orf96	ENST00000382369.5	chromosome 20 open reading frame 96 	257	2	0	2	0	0	hsa-miR-6891-5p				-0.66	-0.66	N/A
SCIMP	ENST00000574081.1	SLP adaptor and CSK interacting membrane protein 	5	4	1	3	0	2	hsa-miR-3173-3p				-0.66	-1.12	N/A
PRRT2	ENST00000300797.6	proline-rich transmembrane protein 2 	33	2	1	1	0	2	hsa-miR-3173-3p				-0.66	-0.66	N/A
AL031663.2	ENST00000595203.1	CDNA FLJ26875 fis, clone PRS08969; Uncharacterized protein  	22	3	0	3	0	1	hsa-miR-6891-5p				-0.65	-0.65	N/A
MESP2	ENST00000560219.1	mesoderm posterior 2 homolog (mouse) 	8	1	1	0	0	2	hsa-miR-3173-3p				-0.65	-0.65	N/A
APH1A	ENST00000360244.4	APH1A gamma secretase subunit 	475	2	1	1	0	2	hsa-miR-3173-3p				-0.65	-0.74	N/A
ANTXR1	ENST00000409829.3	anthrax toxin receptor 1 	571	2	2	0	0	0	hsa-miR-3173-3p				-0.64	-0.64	N/A
FAM134C	ENST00000309428.5	family with sequence similarity 134, member C 	397	5	2	3	0	1	hsa-miR-3173-3p				-0.64	-0.64	N/A
C19orf54	ENST00000470681.1	chromosome 19 open reading frame 54 	18	3	1	1	1	0	hsa-miR-3173-3p				-0.64	-0.64	N/A
ARMS2	ENST00000528446.1	age-related maculopathy susceptibility 2 	5	2	0	1	1	0	hsa-miR-3173-3p				-0.64	-0.64	N/A
PYCR2	ENST00000343818.6	pyrroline-5-carboxylate reductase family, member 2 	1190	1	1	0	0	0	hsa-miR-3173-3p				-0.64	-0.64	N/A
LDLRAP1	ENST00000374338.4	low density lipoprotein receptor adaptor protein 1 	111	3	1	2	0	0	hsa-miR-6891-5p				-0.63	-0.63	N/A
FBP1	ENST00000375326.4	fructose-1,6-bisphosphatase 1 	5	1	1	0	0	0	hsa-miR-3173-3p				-0.63	-0.63	N/A
VAMP1	ENST00000361716.3	vesicle-associated membrane protein 1 (synaptobrevin 1) 	8	3	0	3	0	2	hsa-miR-6891-5p				-0.63	-0.63	N/A
CTF1	ENST00000279804.2	cardiotrophin 1 	25	2	0	2	0	2	hsa-miR-6891-5p				-0.63	-0.63	N/A
PGPEP1	ENST00000597431.2	pyroglutamyl-peptidase I 	82	4	0	2	2	0	hsa-miR-6891-5p				-0.63	-0.79	N/A
B3GALT5	ENST00000380620.4	UDP-Gal:betaGlcNAc beta 1,3-galactosyltransferase, polypeptide 5 	5	2	0	2	0	2	hsa-miR-6891-5p				-0.62	-0.62	N/A
UBE2Q1	ENST00000292211.4	ubiquitin-conjugating enzyme E2Q family member 1 	3046	2	2	0	0	0	hsa-miR-3173-3p				-0.62	-0.62	N/A
ZBTB16	ENST00000335953.4	zinc finger and BTB domain containing 16 	73	3	0	1	2	3	hsa-miR-3173-3p				-0.62	-0.94	N/A
G6PC	ENST00000253801.2	glucose-6-phosphatase, catalytic subunit 	5	3	1	2	0	2	hsa-miR-3173-3p				-0.62	-0.62	N/A
SPRYD4	ENST00000338146.5	SPRY domain containing 4 	1999	3	0	3	0	0	hsa-miR-3173-3p				-0.61	-0.69	N/A
SPARC	ENST00000231061.4	secreted protein, acidic, cysteine-rich (osteonectin) 	2467	2	0	2	0	0	hsa-miR-6891-5p				-0.61	-0.64	N/A
TBC1D13	ENST00000372648.5	TBC1 domain family, member 13 	2204	3	0	3	0	3	hsa-miR-6891-5p				-0.61	-0.61	N/A
FAM83F	ENST00000333407.6	family with sequence similarity 83, member F 	5	4	0	2	2	7	hsa-miR-3173-3p				-0.60	-0.60	N/A
PRR13	ENST00000549068.1	proline rich 13 	387	1	1	0	0	1	hsa-miR-3173-3p				-0.60	-0.72	N/A
AC003102.1	ENST00000399246.2		5	1	1	0	0	1	hsa-miR-3173-3p				-0.59	-0.59	N/A
THRA	ENST00000450525.2	thyroid hormone receptor, alpha 	547	2	1	1	0	2	hsa-miR-6891-5p				-0.59	-0.59	N/A
ATP6AP1	ENST00000369762.2	ATPase, H+ transporting, lysosomal accessory protein 1 	2095	2	1	0	1	1	hsa-miR-3173-3p				-0.59	-0.59	N/A
CBLN3	ENST00000267406.6	cerebellin 3 precursor 	30	2	1	1	0	0	hsa-miR-3173-3p				-0.58	-0.58	N/A
KNSTRN	ENST00000608100.1	kinetochore-localized astrin/SPAG5 binding protein 	1628	2	1	1	0	0	hsa-miR-3173-3p				-0.58	-0.73	N/A
POU2F2	ENST00000342301.4	POU class 2 homeobox 2 	5	4	0	4	0	2	hsa-miR-6891-5p				-0.58	-0.61	N/A
LIX1L	ENST00000369308.3	Lix1 homolog (mouse)-like 	695	1	1	0	0	4	hsa-miR-3173-3p				-0.57	-0.69	N/A
FKTN	ENST00000223528.2	fukutin 	153	4	0	4	0	0	hsa-miR-6891-5p				-0.57	-0.57	N/A
ARID1A	ENST00000324856.7	AT rich interactive domain 1A (SWI-like) 	31	3	0	3	0	0	hsa-miR-6891-5p				-0.57	-0.81	N/A
MUL1	ENST00000264198.3	mitochondrial E3 ubiquitin protein ligase 1 	812	2	1	1	0	1	hsa-miR-6891-5p				-0.57	-0.58	N/A
MAX	ENST00000284165.6	MYC associated factor X 	51	2	0	2	0	1	hsa-miR-6891-5p				-0.57	-0.57	N/A
UGT3A1	ENST00000274278.3	UDP glycosyltransferase 3 family, polypeptide A1 	90	3	0	3	0	1	hsa-miR-6891-5p				-0.57	-0.57	N/A
CHCHD2	ENST00000395422.3	coiled-coil-helix-coiled-coil-helix domain containing 2 	672	1	1	0	0	0	hsa-miR-3173-3p				-0.56	-0.57	N/A
MSANTD1	ENST00000507492.1	Myb/SANT-like DNA-binding domain containing 1 	7	2	1	0	1	0	hsa-miR-3173-3p				-0.56	-0.56	N/A
GABARAP	ENST00000302386.5	GABA(A) receptor-associated protein 	10137	1	0	1	0	2	hsa-miR-6891-5p				-0.56	-0.56	N/A
HSPBP1	ENST00000255631.5	HSPA (heat shock 70kDa) binding protein, cytoplasmic cochaperone 1 	368	2	0	2	0	2	hsa-miR-6891-5p				-0.56	-0.68	N/A
RUSC1	ENST00000368352.5	RUN and SH3 domain containing 1 	909	2	0	2	0	2	hsa-miR-6891-5p				-0.55	-0.58	N/A
ZNF444	ENST00000592949.1	zinc finger protein 444 	1792	2	0	2	0	1	hsa-miR-6891-5p				-0.55	-0.55	N/A
RAB8A	ENST00000300935.3	RAB8A, member RAS oncogene family 	226	1	1	0	0	1	hsa-miR-3173-3p				-0.55	-0.58	N/A
ZNF717	ENST00000477374.1	zinc finger protein 717 	186	1	1	0	0	0	hsa-miR-3173-3p				-0.55	-0.55	N/A
LYZL6	ENST00000293274.4	lysozyme-like 6 	5	1	1	0	0	0	hsa-miR-3173-3p				-0.55	-0.55	N/A
CASP4	ENST00000444739.2	caspase 4, apoptosis-related cysteine peptidase 	21	1	1	0	0	0	hsa-miR-3173-3p				-0.54	-0.54	N/A
EXTL2	ENST00000370113.3	exostosin-like glycosyltransferase 2 	204	2	0	2	0	1	hsa-miR-6891-5p				-0.54	-0.54	N/A
HYAL4	ENST00000223026.4	hyaluronoglucosaminidase 4 	5	1	1	0	0	0	hsa-miR-3173-3p				-0.54	-0.54	N/A
SFXN2	ENST00000369893.5	sideroflexin 2 	547	2	1	1	0	1	hsa-miR-6891-5p				-0.54	-0.54	N/A
TXN2	ENST00000216185.2	thioredoxin 2 	3060	2	0	1	1	0	hsa-miR-3173-3p				-0.54	-0.54	N/A
PARP3	ENST00000431474.1	poly (ADP-ribose) polymerase family, member 3 	5	1	0	1	0	1	hsa-miR-6891-5p				-0.54	-0.54	N/A
YWHAE	ENST00000264335.8	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, epsilon polypeptide 	144	3	0	3	0	1	hsa-miR-6891-5p				-0.53	-0.83	N/A
LCE1E	ENST00000368770.3	late cornified envelope 1E 	5	2	0	1	1	1	hsa-miR-6891-5p				-0.53	-0.53	N/A
CT62	ENST00000566432.1	cancer/testis antigen 62 	5	2	1	0	1	1	hsa-miR-3173-3p				-0.53	-0.53	N/A
PDE6D	ENST00000409772.1	phosphodiesterase 6D, cGMP-specific, rod, delta 	1265	2	0	2	0	0	hsa-miR-6891-5p				-0.53	-0.53	N/A
KCTD13	ENST00000568000.1	potassium channel tetramerization domain containing 13 	782	1	1	0	0	0	hsa-miR-3173-3p				-0.53	-0.53	N/A
GJA5	ENST00000271348.2	gap junction protein, alpha 5, 40kDa 	5	1	0	1	0	3	hsa-miR-3173-3p				-0.52	-0.52	N/A
CNR1	ENST00000362094.5	cannabinoid receptor 1 (brain) 	40	3	1	1	1	2	hsa-miR-6891-5p				-0.52	-0.67	N/A
TBC1D10A	ENST00000215790.7	TBC1 domain family, member 10A 	184	2	1	1	0	0	hsa-miR-3173-3p				-0.52	-0.52	N/A
PYGM	ENST00000377432.3	phosphorylase, glycogen, muscle 	5	1	1	0	0	1	hsa-miR-3173-3p				-0.52	-0.52	N/A
MIDN	ENST00000591446.2	midnolin 	621	3	0	3	0	1	hsa-miR-6891-5p				-0.52	-0.52	N/A
KIAA1217	ENST00000396445.1	KIAA1217 	320	4	1	3	0	0	hsa-miR-3173-3p				-0.51	-0.52	N/A
KRT78	ENST00000359499.4	keratin 78 	5	3	0	3	0	3	hsa-miR-6891-5p				-0.51	-0.51	N/A
FOXF1	ENST00000262426.4	forkhead box F1 	836	4	0	4	0	1	hsa-miR-3173-3p				-0.51	-0.70	N/A
AP000769.1	ENST00000309775.7	Uncharacterized protein  	5	1	1	0	0	0	hsa-miR-3173-3p				-0.51	-0.51	N/A
ZNF284	ENST00000421176.3	zinc finger protein 284 	42	2	0	1	1	1	hsa-miR-6891-5p				-0.51	-0.52	N/A
STK40	ENST00000359297.2	serine/threonine kinase 40 	214	3	0	3	0	1	hsa-miR-6891-5p				-0.50	-0.55	N/A
ABHD14B	ENST00000461108.1	abhydrolase domain containing 14B 	189	2	1	1	0	1	hsa-miR-3173-3p				-0.50	-0.51	N/A
HOXC10	ENST00000303460.4	homeobox C10 	152	1	1	0	0	2	hsa-miR-3173-3p				-0.50	-0.59	N/A
ATP6V1G2	ENST00000376151.4	ATPase, H+ transporting, lysosomal 13kDa, V1 subunit G2 	16	1	0	1	0	2	hsa-miR-3173-3p				-0.50	-0.50	N/A
LYSMD1	ENST00000368908.5	LysM, putative peptidoglycan-binding, domain containing 1 	67	2	0	2	0	0	hsa-miR-6891-5p				-0.50	-0.51	N/A
AL139099.1	ENST00000539688.1	Full-length cDNA clone CS0DK012YO09 of HeLa cells of Homo sapiens (human); Uncharacterized protein  	9	1	1	0	0	0	hsa-miR-3173-3p				-0.50	-0.50	N/A
DNAJC27	ENST00000264711.2	DnaJ (Hsp40) homolog, subfamily C, member 27 	41	6	0	4	2	0	hsa-miR-6891-5p				-0.50	-0.60	N/A
C11orf91	ENST00000379011.4	chromosome 11 open reading frame 91 	241	1	1	0	0	0	hsa-miR-3173-3p				-0.49	-0.49	N/A
S100A13	ENST00000339556.4	S100 calcium binding protein A13 	1433	1	0	1	0	0	hsa-miR-3173-3p				-0.49	-0.49	N/A
ZBTB7A	ENST00000322357.4	zinc finger and BTB domain containing 7A 	37	3	1	2	0	1	hsa-miR-6891-5p				-0.49	-0.49	N/A
KLHDC3	ENST00000326974.4	kelch domain containing 3 	349	2	0	2	0	1	hsa-miR-6891-5p				-0.49	-0.49	N/A
CACNG7	ENST00000391767.1	calcium channel, voltage-dependent, gamma subunit 7 	5	1	0	1	0	2	hsa-miR-6891-5p				-0.49	-0.49	N/A
DBF4B	ENST00000315005.3	DBF4 homolog B (S. cerevisiae) 	34	2	0	2	0	4	hsa-miR-6891-5p				-0.49	-0.49	N/A
DGCR2	ENST00000545799.1	DiGeorge syndrome critical region gene 2 	1754	3	0	1	2	1	hsa-miR-3173-3p				-0.49	-0.51	N/A
SPON2	ENST00000290902.5	spondin 2, extracellular matrix protein 	1611	2	0	1	1	0	hsa-miR-3173-3p				-0.48	-0.48	N/A
IKZF4	ENST00000262032.5	IKAROS family zinc finger 4 (Eos) 	329	2	0	2	0	8	hsa-miR-6891-5p				-0.48	-0.50	N/A
AC022498.1	ENST00000392468.2	Uncharacterized protein  	5	1	1	0	0	0	hsa-miR-3173-3p				-0.48	-0.48	N/A
DEFB1	ENST00000297439.3	defensin, beta 1 	5	1	0	1	0	0	hsa-miR-3173-3p				-0.48	-0.48	N/A
KLF7	ENST00000423015.1	Kruppel-like factor 7 (ubiquitous) 	737	3	0	2	1	4	hsa-miR-6891-5p				-0.48	-0.62	N/A
KRTAP5-1	ENST00000382171.2	keratin associated protein 5-1 	5	1	0	1	0	0	hsa-miR-3173-3p				-0.48	-0.48	N/A
WISP3	ENST00000361714.1	WNT1 inducible signaling pathway protein 3 	5	1	1	0	0	1	hsa-miR-3173-3p				-0.48	-0.48	N/A
SNTA1	ENST00000217381.2	syntrophin, alpha 1 	360	1	1	0	0	0	hsa-miR-3173-3p				-0.47	-0.47	N/A
EIF4EBP1	ENST00000338825.4	eukaryotic translation initiation factor 4E binding protein 1 	121	2	0	2	0	0	hsa-miR-6891-5p				-0.47	-0.49	N/A
CPEB1	ENST00000450751.2	cytoplasmic polyadenylation element binding protein 1 	5	2	1	0	1	0	hsa-miR-3173-3p				-0.47	-0.47	N/A
BORA	ENST00000390667.5	bora, aurora kinase A activator 	244	1	1	0	0	0	hsa-miR-3173-3p				-0.47	-0.47	N/A
MYD88	ENST00000495303.1	myeloid differentiation primary response 88 	319	2	0	2	0	1	hsa-miR-3173-3p				-0.47	-0.47	N/A
MZT2B	ENST00000281871.6	mitotic spindle organizing protein 2B 	44	1	0	1	0	0	hsa-miR-6891-5p				-0.47	-0.47	N/A
ENOPH1	ENST00000273920.3	enolase-phosphatase 1 	615	1	1	0	0	0	hsa-miR-3173-3p				-0.47	-0.47	N/A
KLHL26	ENST00000300976.4	kelch-like family member 26 	238	5	0	4	1	0	hsa-miR-6891-5p				-0.47	-0.47	N/A
ZDHHC19	ENST00000296326.3	zinc finger, DHHC-type containing 19 	8	1	1	0	0	0	hsa-miR-3173-3p				-0.46	-0.46	N/A
MANBAL	ENST00000397150.1	mannosidase, beta A, lysosomal-like 	2819	2	0	2	0	0	hsa-miR-6891-5p				-0.46	-0.46	N/A
COLCA1	ENST00000532918.1	colorectal cancer associated 1 	5	1	1	0	0	1	hsa-miR-3173-3p				-0.46	-0.46	N/A
MAG	ENST00000392213.3	myelin associated glycoprotein 	22	2	0	2	0	1	hsa-miR-6891-5p				-0.46	-0.47	N/A
LCE2C	ENST00000368783.1	late cornified envelope 2C 	5	1	0	1	0	0	hsa-miR-6891-5p				-0.46	-0.46	N/A
SCD	ENST00000370355.2	stearoyl-CoA desaturase (delta-9-desaturase) 	9726	3	0	3	0	2	hsa-miR-3173-3p				-0.46	-0.46	N/A
NIPSNAP1	ENST00000216121.7	nipsnap homolog 1 (C. elegans) 	2429	2	0	2	0	0	hsa-miR-3173-3p				-0.46	-0.46	N/A
POU2AF1	ENST00000393067.3	POU class 2 associating factor 1 	19	3	0	3	0	2	hsa-miR-6891-5p				-0.46	-0.46	N/A
PPP1R1C	ENST00000409137.3	protein phosphatase 1, regulatory (inhibitor) subunit 1C 	5	1	1	0	0	1	hsa-miR-3173-3p				-0.46	-0.46	N/A
LYVE1	ENST00000256178.3	lymphatic vessel endothelial hyaluronan receptor 1 	5	4	1	1	2	2	hsa-miR-3173-3p				-0.46	-0.83	N/A
PRR15L	ENST00000300557.2	proline rich 15-like 	159	2	1	1	0	0	hsa-miR-6891-5p				-0.46	-0.46	N/A
LIF	ENST00000403987.3	leukemia inhibitory factor 	55	2	0	2	0	2	hsa-miR-3173-3p				-0.46	-0.51	N/A
C6orf141	ENST00000529246.2	chromosome 6 open reading frame 141 	28	2	0	2	0	4	hsa-miR-6891-5p				-0.46	-0.58	N/A
LIN28A	ENST00000326279.6	lin-28 homolog A (C. elegans) 	5	1	1	0	0	1	hsa-miR-6891-5p				-0.45	-0.45	N/A
ST8SIA2	ENST00000268164.3	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 2 	9	2	0	2	0	3	hsa-miR-6891-5p				-0.45	-0.45	N/A
C12orf43	ENST00000536407.2	chromosome 12 open reading frame 43 	172	2	1	0	1	1	hsa-miR-3173-3p				-0.45	-0.51	N/A
REPIN1	ENST00000479668.1	replication initiator 1 	2836	2	0	2	0	2	hsa-miR-6891-5p				-0.45	-0.45	N/A
NRM	ENST00000376420.5	nurim (nuclear envelope membrane protein) 	74	1	1	0	0	0	hsa-miR-3173-3p				-0.45	-0.49	N/A
TMEM164	ENST00000372073.1	transmembrane protein 164 	711	3	0	3	0	4	hsa-miR-6891-5p				-0.45	-0.51	N/A
TMOD4	ENST00000416280.2	tropomodulin 4 (muscle) 	10	1	0	1	0	0	hsa-miR-6891-5p				-0.45	-0.45	N/A
KRT1	ENST00000252244.3	keratin 1 	5	2	1	0	1	0	hsa-miR-3173-3p				-0.45	-0.45	N/A
MZT2A	ENST00000309451.6	mitotic spindle organizing protein 2A 	25	1	0	1	0	0	hsa-miR-6891-5p				-0.45	-0.45	N/A
ZDHHC9	ENST00000357166.6	zinc finger, DHHC-type containing 9 	1203	4	0	4	0	1	hsa-miR-6891-5p				-0.44	-0.83	N/A
PTGER3	ENST00000370924.4	prostaglandin E receptor 3 (subtype EP3) 	14	2	1	0	1	0	hsa-miR-3173-3p				-0.44	-0.44	N/A
CDSN	ENST00000376288.2	corneodesmosin 	5	2	0	2	0	0	hsa-miR-6891-5p				-0.44	-0.44	N/A
NPL	ENST00000367553.1	N-acetylneuraminate pyruvate lyase (dihydrodipicolinate synthase) 	19	2	0	1	1	0	hsa-miR-6891-5p				-0.44	-0.44	N/A
GREM1	ENST00000560677.1	gremlin 1, DAN family BMP antagonist 	752	1	0	1	0	3	hsa-miR-6891-5p				-0.44	-0.50	N/A
BET1L	ENST00000325147.9	Bet1 golgi vesicular membrane trafficking protein-like 	702	2	0	2	0	1	hsa-miR-6891-5p				-0.44	-0.44	N/A
ZNF337	ENST00000376436.1	zinc finger protein 337 	7	2	1	1	0	0	hsa-miR-6891-5p				-0.44	-0.44	N/A
CD209	ENST00000301357.8	CD209 molecule 	5	1	0	1	0	3	hsa-miR-6891-5p				-0.44	-0.44	N/A
TPST2	ENST00000338754.4	tyrosylprotein sulfotransferase 2 	1220	2	1	1	0	2	hsa-miR-3173-3p				-0.44	-0.52	N/A
CCR4	ENST00000330953.5	chemokine (C-C motif) receptor 4 	5	1	1	0	0	0	hsa-miR-3173-3p				-0.44	-0.44	N/A
RAB30	ENST00000533486.1	RAB30, member RAS oncogene family 	274	3	0	3	0	4	hsa-miR-6891-5p				-0.44	-0.48	N/A
PPP6C	ENST00000373547.4	protein phosphatase 6, catalytic subunit 	346	5	0	3	2	0	hsa-miR-3173-3p				-0.44	-0.76	N/A
LCE2B	ENST00000368780.3	late cornified envelope 2B 	5	1	0	1	0	0	hsa-miR-3173-3p				-0.43	-0.43	N/A
TNR	ENST00000367674.2	tenascin R 	5	8	1	5	2	2	hsa-miR-6891-5p				-0.43	-0.43	N/A
IGFBP3	ENST00000381086.5	insulin-like growth factor binding protein 3 	1857	1	1	0	0	1	hsa-miR-6891-5p				-0.43	-0.46	N/A
CYGB	ENST00000293230.5	cytoglobin 	10	2	0	2	0	0	hsa-miR-3173-3p				-0.43	-0.43	N/A
GJC3	ENST00000312891.2	gap junction protein, gamma 3, 30.2kDa 	20	1	1	0	0	0	hsa-miR-3173-3p				-0.43	-0.43	N/A
LCE4A	ENST00000368777.1	late cornified envelope 4A 	5	1	0	1	0	0	hsa-miR-3173-3p				-0.43	-0.43	N/A
PRKAB2	ENST00000254101.3	protein kinase, AMP-activated, beta 2 non-catalytic subunit 	363	3	0	2	1	2	hsa-miR-3173-3p				-0.43	-0.47	N/A
CD40LG	ENST00000370629.2	CD40 ligand 	5	1	1	0	0	0	hsa-miR-3173-3p				-0.43	-0.43	N/A
NEK10	ENST00000295720.6	NIMA-related kinase 10 	66	1	1	0	0	2	hsa-miR-3173-3p				-0.43	-0.43	N/A
SOX15	ENST00000538513.2	SRY (sex determining region Y)-box 15 	19	1	0	1	0	0	hsa-miR-6891-5p				-0.43	-0.43	N/A
CLVS1	ENST00000518592.1	clavesin 1 	5	2	0	1	1	0	hsa-miR-3173-3p				-0.43	-0.43	N/A
ZPBP2	ENST00000377940.3	zona pellucida binding protein 2 	5	1	1	0	0	0	hsa-miR-6891-5p				-0.43	-0.43	N/A
BAK1	ENST00000442998.2	BCL2-antagonist/killer 1 	15	3	1	1	1	0	hsa-miR-3173-3p				-0.43	-0.43	N/A
UNC119B	ENST00000344651.4	unc-119 homolog B (C. elegans) 	5	2	0	1	1	0	hsa-miR-3173-3p				-0.43	-0.43	N/A
OR10H5	ENST00000308940.8	olfactory receptor, family 10, subfamily H, member 5 	5	1	0	1	0	0	hsa-miR-6891-5p				-0.42	-0.42	N/A
SLC4A8	ENST00000453097.2	solute carrier family 4, sodium bicarbonate cotransporter, member 8 	17	6	0	4	2	1	hsa-miR-3173-3p				-0.42	-0.59	N/A
ESAM	ENST00000278927.5	endothelial cell adhesion molecule 	29	1	1	0	0	1	hsa-miR-3173-3p				-0.42	-0.42	N/A
AQP2	ENST00000199280.3	aquaporin 2 (collecting duct) 	5	2	0	2	0	1	hsa-miR-6891-5p				-0.42	-0.42	N/A
ZNF318	ENST00000361428.2	zinc finger protein 318 	113	2	0	2	0	0	hsa-miR-6891-5p				-0.42	-0.46	N/A
OPN1MW	ENST00000369935.5	opsin 1 (cone pigments), medium-wave-sensitive 	5	1	0	1	0	1	hsa-miR-3173-3p				-0.42	-0.42	N/A
KIAA1671	ENST00000401395.1	KIAA1671 	549	2	0	2	0	2	hsa-miR-6891-5p				-0.42	-0.43	N/A
SDK1	ENST00000404826.2	sidekick cell adhesion molecule 1 	60	7	0	6	1	2	hsa-miR-6891-5p				-0.42	-0.58	N/A
KCNIP2	ENST00000348850.5	Kv channel interacting protein 2 	5	2	0	1	1	1	hsa-miR-6891-5p				-0.42	-0.42	N/A
PRICKLE3	ENST00000376317.3	prickle homolog 3 (Drosophila) 	117	2	0	2	0	0	hsa-miR-6891-5p				-0.42	-0.46	N/A
CBFB	ENST00000290858.6	core-binding factor, beta subunit 	3904	1	1	0	0	2	hsa-miR-6891-5p				-0.42	-0.43	N/A
CS	ENST00000548567.1	citrate synthase 	52	1	1	0	0	0	hsa-miR-3173-3p				-0.41	-0.41	N/A
MAMSTR	ENST00000318083.6	MEF2 activating motif and SAP domain containing transcriptional regulator 	100	1	1	0	0	1	hsa-miR-3173-3p				-0.41	-0.45	N/A
OPN1MW2	ENST00000369929.4	opsin 1 (cone pigments), medium-wave-sensitive 2 	5	1	0	1	0	1	hsa-miR-3173-3p				-0.41	-0.41	N/A
