Target gene	Representative transcript	Gene name	3P-seq tags + 5	Total sites	8mer sites	7mer-m8 sites	7mer-A1 sites	6mer sites	Representative miRNA	Predicted occupancy (low miRNA)	Predicted occupancy (high miRNA)	Predicted occupancy (transfected miRNA)	Cumulative weighted context++ score	Total context++ score	Aggregate PCT
STXBP1	ENST00000373302.3	syntaxin binding protein 1 	295	3	1	0	2	0	hsa-miR-1185-5p	0.0513	0.3101	1.1314	-0.58	-0.63	N/A
AMBN	ENST00000322937.6	ameloblastin (enamel matrix protein) 	5	1	1	0	0	0	hsa-miR-1185-5p	0.0401	0.2365	0.7046	-0.57	-0.57	N/A
LINC00346	ENST00000538077.1	long intergenic non-protein coding RNA 346 	26	4	1	0	3	1	hsa-miR-1185-5p	0.0387	0.2477	1.0310	-0.57	-1.01	N/A
C4orf26	ENST00000311623.4	chromosome 4 open reading frame 26 	5	1	1	0	0	0	hsa-miR-1185-5p	0.0271	0.1747	0.6892	-0.57	-0.57	N/A
STX5	ENST00000377897.4	syntaxin 5 	402	2	0	0	2	0	hsa-miR-1185-5p	0.0131	0.0921	0.5109	-0.56	-0.56	N/A
SPANXN5	ENST00000375511.3	SPANX family, member N5 	5	2	0	0	2	0	hsa-miR-1185-5p	0.0048	0.0352	0.2318	-0.55	-0.55	N/A
BTC	ENST00000395743.3	betacellulin 	12	2	1	0	1	0	hsa-miR-1185-5p	0.0263	0.1793	0.8413	-0.55	-0.55	N/A
FXYD4	ENST00000476166.1	FXYD domain containing ion transport regulator 4 	5	1	1	0	0	0	hsa-miR-1185-5p	0.0063	0.0449	0.2577	-0.55	-0.55	N/A
ZNF280D	ENST00000558320.1	zinc finger protein 280D 	173	1	1	0	0	0	hsa-miR-1185-5p	0.0497	0.2799	0.7584	-0.55	-0.55	N/A
EDARADD	ENST00000359362.5	EDAR-associated death domain 	76	2	0	2	0	0	hsa-miR-1185-5p	0.0620	0.3839	1.3138	-0.55	-0.55	N/A
MPZL1	ENST00000474859.1	myelin protein zero-like 1 	3146	2	1	0	1	0	hsa-miR-1185-5p	0.0221	0.1460	0.6230	-0.55	-0.56	N/A
COPS3	ENST00000539941.2	COP9 signalosome subunit 3 	3495	1	1	0	0	0	hsa-miR-1185-5p	0.0189	0.1234	0.4923	-0.55	-0.60	N/A
CTD-2616J11.4	ENST00000574814.1	uncharacterized protein LOC147646  	23	2	0	1	1	1	hsa-miR-1185-5p	0.0170	0.1213	0.7165	-0.54	-0.54	N/A
C14orf144	ENST00000419115.1	chromosome 14 open reading frame 144 	5	1	1	0	0	0	hsa-miR-1185-5p	0.0514	0.2972	0.9174	-0.54	-0.54	N/A
PEX12	ENST00000225873.4	peroxisomal biogenesis factor 12 	23	1	1	0	0	0	hsa-miR-1185-5p	0.0219	0.1428	0.5697	-0.54	-0.54	N/A
CD93	ENST00000246006.4	CD93 molecule 	5	3	1	0	2	2	hsa-miR-1185-5p	0.0463	0.3088	1.4550	-0.54	-0.54	N/A
FXYD6	ENST00000540359.1	FXYD domain containing ion transport regulator 6 	42	1	1	0	0	0	hsa-miR-1185-5p	0.0117	0.0811	0.4213	-0.53	-0.53	N/A
TMPRSS12	ENST00000551456.1	transmembrane (C-terminal) protease, serine 12 	5	2	0	0	2	0	hsa-miR-1185-5p	0.0259	0.1787	0.9236	-0.53	-0.53	N/A
CCL17	ENST00000219244.4	chemokine (C-C motif) ligand 17 	5	1	0	1	0	0	hsa-miR-1185-5p	0.0238	0.1530	0.5800	-0.53	-0.53	N/A
ZNF460	ENST00000360338.3	zinc finger protein 460 	164	4	1	2	1	3	hsa-miR-1185-5p	0.0654	0.4452	2.2929	-0.53	-0.58	N/A
CTRC	ENST00000375943.2	chymotrypsin C (caldecrin) 	5	2	0	1	1	1	hsa-miR-1185-5p	0.0332	0.2285	1.1389	-0.53	-0.53	N/A
CCDC50	ENST00000392455.3	coiled-coil domain containing 50 	961	3	1	0	2	0	hsa-miR-1185-5p	0.0161	0.1128	0.6118	-0.53	-0.71	N/A
PPP1R12B	ENST00000608999.1	protein phosphatase 1, regulatory subunit 12B 	18	3	1	0	2	2	hsa-miR-1185-5p	0.0327	0.2368	1.5269	-0.52	-0.55	N/A
ERP27	ENST00000266397.2	endoplasmic reticulum protein 27 	5	1	1	0	0	0	hsa-miR-1185-5p	0.0207	0.1369	0.5769	-0.52	-0.52	N/A
TAOK1	ENST00000261716.3	TAO kinase 1 	164	3	0	0	3	1	hsa-miR-1185-5p	0.0286	0.2059	1.2882	-0.52	-0.55	N/A
HIST1H2BF	ENST00000359985.1	histone cluster 1, H2bf 	16	2	1	0	1	0	hsa-miR-1185-5p	0.0252	0.1691	0.7743	-0.51	-0.55	N/A
GPRIN3	ENST00000609438.1	GPRIN family member 3 	213	2	0	1	1	4	hsa-miR-1185-5p	0.0326	0.2351	1.4707	-0.51	-0.58	N/A
TOR1B	ENST00000259339.2	torsin family 1, member B (torsin B) 	222	4	1	0	3	0	hsa-miR-1185-5p	0.0174	0.1171	0.5434	-0.51	-0.74	N/A
AK4	ENST00000545314.1	adenylate kinase 4 	116	2	0	0	2	2	hsa-miR-1185-5p	0.0204	0.1461	0.8983	-0.51	-0.51	N/A
MAPK14	ENST00000229795.3	mitogen-activated protein kinase 14 	1191	2	1	0	1	1	hsa-miR-1185-5p	0.0335	0.2120	0.8053	-0.50	-0.61	N/A
SLC46A3	ENST00000266943.6	solute carrier family 46, member 3 	5	1	1	0	0	0	hsa-miR-1185-5p	0.0137	0.0954	0.5020	-0.50	-0.50	N/A
DENND2D	ENST00000357640.4	DENN/MADD domain containing 2D 	48	2	1	1	0	0	hsa-miR-1185-5p	0.0168	0.1130	0.5060	-0.50	-0.74	N/A
C11orf70	ENST00000434758.2	chromosome 11 open reading frame 70 	7	2	1	0	1	0	hsa-miR-1185-5p	0.0192	0.1295	0.6046	-0.50	-0.79	N/A
HTATIP2	ENST00000451739.2	HIV-1 Tat interactive protein 2, 30kDa 	380	1	1	0	0	0	hsa-miR-1185-5p	0.0272	0.1744	0.6765	-0.49	-0.49	N/A
ZKSCAN8	ENST00000330236.6	zinc finger with KRAB and SCAN domains 8 	281	2	0	1	1	1	hsa-miR-1185-5p	0.0334	0.2329	1.2674	-0.49	-0.50	N/A
EDNRA	ENST00000339690.5	endothelin receptor type A 	35	1	1	0	0	1	hsa-miR-1185-5p	0.0306	0.2032	0.8837	-0.49	-0.49	N/A
SIAH3	ENST00000400405.2	siah E3 ubiquitin protein ligase family member 3 	5	2	1	0	1	0	hsa-miR-1185-5p	0.0289	0.1885	0.8052	-0.49	-0.49	N/A
NUSAP1	ENST00000260359.6	nucleolar and spindle associated protein 1 	686	1	1	0	0	0	hsa-miR-1185-5p	0.0445	0.2571	0.7466	-0.49	-0.50	N/A
DISC1	ENST00000439617.2	disrupted in schizophrenia 1 	132	3	2	0	1	0	hsa-miR-1185-5p	0.0483	0.3212	1.4199	-0.48	-0.48	N/A
MACC1	ENST00000400331.5	metastasis associated in colon cancer 1 	5	3	2	1	0	2	hsa-miR-1185-5p	0.1137	0.6479	2.1545	-0.48	-0.48	N/A
FAR2	ENST00000536681.3	fatty acyl CoA reductase 2 	193	2	1	0	1	0	hsa-miR-1185-5p	0.0341	0.2211	0.9098	-0.48	-0.56	N/A
AKAP3	ENST00000545990.2	A kinase (PRKA) anchor protein 3 	5	1	1	0	0	0	hsa-miR-1185-5p	0.0146	0.1004	0.5007	-0.48	-0.48	N/A
TEAD1	ENST00000361905.4	TEA domain family member 1 (SV40 transcriptional enhancer factor) 	740	3	1	1	1	3	hsa-miR-1185-5p	0.0660	0.4373	1.9649	-0.48	-0.48	N/A
BEND4	ENST00000504360.1	BEN domain containing 4 	187	3	0	1	2	0	hsa-miR-1185-5p	0.0600	0.3929	1.8180	-0.48	-0.48	N/A
ZNF2	ENST00000398107.2	zinc finger protein 2 	95	2	1	1	0	0	hsa-miR-1185-5p	0.0488	0.3088	1.1394	-0.48	-0.53	N/A
MIS18BP1	ENST00000310806.4	MIS18 binding protein 1 	74	1	1	0	0	0	hsa-miR-1185-5p	0.0382	0.2280	0.7069	-0.48	-0.48	N/A
SLC9B2	ENST00000503103.1	solute carrier family 9, subfamily B (NHA2, cation proton antiporter 2), member 2 	22	3	0	1	2	2	hsa-miR-1185-5p	0.0418	0.2807	1.3551	-0.48	-0.82	N/A
CNTD1	ENST00000588408.1	cyclin N-terminal domain containing 1 	7	1	1	0	0	0	hsa-miR-1185-5p	0.0376	0.2291	0.7709	-0.47	-0.47	N/A
DDT	ENST00000398344.4	D-dopachrome tautomerase 	1975	1	0	0	1	1	hsa-miR-1185-5p	0.0146	0.0994	0.4743	-0.47	-0.47	N/A
CRCP	ENST00000415001.2	CGRP receptor component 	1776	1	1	0	0	1	hsa-miR-1185-5p	0.0294	0.1831	0.6235	-0.47	-0.48	N/A
STAM	ENST00000377524.3	signal transducing adaptor molecule (SH3 domain and ITAM motif) 1 	723	1	1	0	0	0	hsa-miR-1185-5p	0.0222	0.1506	0.7310	-0.47	-0.47	N/A
KRIT1	ENST00000394507.1	KRIT1, ankyrin repeat containing 	574	1	1	0	0	0	hsa-miR-1185-5p	0.0350	0.2130	0.6968	-0.47	-0.47	N/A
GRIN2B	ENST00000609686.1	glutamate receptor, ionotropic, N-methyl D-aspartate 2B 	5	8	2	3	3	4	hsa-miR-1185-5p	0.1089	0.7537	4.0010	-0.46	-0.46	N/A
C1orf109	ENST00000358011.4	chromosome 1 open reading frame 109 	6	1	1	0	0	1	hsa-miR-1185-5p	0.0365	0.2232	0.7579	-0.46	-0.46	N/A
SSX1	ENST00000376919.3	synovial sarcoma, X breakpoint 1 	5	1	1	0	0	0	hsa-miR-1185-5p	0.0268	0.1742	0.7122	-0.46	-0.46	N/A
AMHR2	ENST00000550311.1	anti-Mullerian hormone receptor, type II 	179	2	0	0	2	1	hsa-miR-1185-5p	0.0076	0.0553	0.3632	-0.46	-0.46	N/A
RNF152	ENST00000312828.3	ring finger protein 152 	57	3	0	1	2	1	hsa-miR-1185-5p	0.0310	0.2126	1.0841	-0.46	-0.63	N/A
PPP1R1B	ENST00000254079.4	protein phosphatase 1, regulatory (inhibitor) subunit 1B 	5	1	1	0	0	1	hsa-miR-1185-5p	0.0150	0.1036	0.5221	-0.46	-0.46	N/A
DKFZP434H0512	ENST00000600140.1	Protein LOC100506667; Putative uncharacterized protein DKFZp434H0512  	5	2	0	0	2	1	hsa-miR-1185-5p	0.0217	0.1539	0.8769	-0.45	-0.45	N/A
C10orf105	ENST00000441508.2	chromosome 10 open reading frame 105 	5	3	1	0	2	1	hsa-miR-1185-5p	0.0314	0.2208	1.2273	-0.45	-0.45	N/A
ADAM12	ENST00000368679.4	ADAM metallopeptidase domain 12 	758	2	1	0	1	4	hsa-miR-1185-5p	0.0345	0.2420	1.3321	-0.45	-0.50	N/A
SAT2	ENST00000269298.5	spermidine/spermine N1-acetyltransferase family member 2 	62	1	1	0	0	0	hsa-miR-1185-5p	0.0031	0.0224	0.1458	-0.45	-0.45	N/A
AC008964.1	ENST00000593965.1		5	1	1	0	0	0	hsa-miR-1185-5p	0.0247	0.1615	0.6653	-0.45	-0.45	N/A
ABCG2	ENST00000515655.1	ATP-binding cassette, sub-family G (WHITE), member 2 	20	2	1	1	0	0	hsa-miR-1185-5p	0.0307	0.2048	0.9414	-0.44	-0.63	N/A
METTL7B	ENST00000394252.3	methyltransferase like 7B 	58	1	1	0	0	0	hsa-miR-1185-5p	0.0120	0.0822	0.3981	-0.44	-0.44	N/A
PHTF2	ENST00000416283.2	putative homeodomain transcription factor 2 	1730	2	1	1	0	0	hsa-miR-1185-5p	0.0410	0.2695	1.1053	-0.44	-0.44	N/A
GLYAT	ENST00000344743.3	glycine-N-acyltransferase 	5	2	0	2	0	1	hsa-miR-1185-5p	0.0242	0.1658	0.8111	-0.44	-0.51	N/A
VNN1	ENST00000367928.4	vanin 1 	5	2	0	1	1	0	hsa-miR-1185-5p	0.0305	0.1997	0.8510	-0.44	-0.44	N/A
KLF7	ENST00000423015.1	Kruppel-like factor 7 (ubiquitous) 	737	2	0	2	0	1	hsa-miR-1185-5p	0.0909	0.5402	1.7879	-0.44	-0.45	N/A
ZBTB8A	ENST00000316459.4	zinc finger and BTB domain containing 8A 	287	1	0	1	0	2	hsa-miR-1185-5p	0.0636	0.3836	1.3977	-0.44	-0.45	N/A
TM4SF1	ENST00000472441.1	transmembrane 4 L six family member 1 	1401	2	0	2	0	0	hsa-miR-1185-5p	0.0309	0.2114	1.0403	-0.44	-0.44	N/A
CCDC121	ENST00000324364.3	coiled-coil domain containing 121 	5	1	1	0	0	0	hsa-miR-1185-5p	0.0328	0.2050	0.7366	-0.44	-0.44	N/A
SYTL2	ENST00000389960.4	synaptotagmin-like 2 	81	1	1	0	0	0	hsa-miR-1185-5p	0.0341	0.2075	0.6731	-0.43	-0.43	N/A
RNF165	ENST00000269439.7	ring finger protein 165 	18	3	1	2	0	1	hsa-miR-1185-5p	0.0649	0.4264	1.8393	-0.43	-0.43	N/A
CA8	ENST00000317995.4	carbonic anhydrase VIII 	197	1	1	0	0	0	hsa-miR-1185-5p	0.0202	0.1372	0.6546	-0.43	-0.43	N/A
PCYOX1	ENST00000264441.5	prenylcysteine oxidase 1 	407	3	1	0	2	1	hsa-miR-1185-5p	0.0147	0.1030	0.5514	-0.43	-0.61	N/A
FGF13	ENST00000315930.6	fibroblast growth factor 13 	17	1	1	0	0	0	hsa-miR-1185-5p	0.0415	0.2347	0.6358	-0.43	-0.51	N/A
CARD8	ENST00000520753.1	caspase recruitment domain family, member 8 	159	2	2	0	0	1	hsa-miR-1185-5p	0.0397	0.2608	1.0887	-0.43	-0.57	N/A
ZNF720	ENST00000534369.1	zinc finger protein 720 	19	1	1	0	0	1	hsa-miR-1185-5p	0.0206	0.1320	0.5092	-0.43	-0.62	N/A
METTL9	ENST00000358154.3	methyltransferase like 9 	220	2	1	0	1	0	hsa-miR-1185-5p	0.0353	0.2146	0.7333	-0.42	-0.55	N/A
PRLR	ENST00000342362.5	prolactin receptor 	95	3	0	1	2	2	hsa-miR-1185-5p	0.0322	0.2276	1.3049	-0.42	-0.59	N/A
RP11-57H12.6	ENST00000604534.1	TMEM56-RWDD3 protein  	49	1	1	0	0	0	hsa-miR-1185-5p	0.0168	0.1151	0.5719	-0.42	-0.42	N/A
DLX2	ENST00000234198.4	distal-less homeobox 2 	653	1	1	0	0	0	hsa-miR-1185-5p	0.0288	0.1834	0.7004	-0.42	-0.42	N/A
FLJ00388	ENST00000594280.1		185	1	1	0	0	0	hsa-miR-1185-5p	0.0120	0.0838	0.4523	-0.42	-0.42	N/A
ITK	ENST00000422843.3	IL2-inducible T-cell kinase 	5	2	0	0	2	0	hsa-miR-1185-5p	0.0212	0.1520	0.9280	-0.42	-0.42	N/A
MSTO1	ENST00000245564.2	misato 1, mitochondrial distribution and morphology regulator 	136	2	0	0	2	1	hsa-miR-1185-5p	0.0249	0.1657	0.7493	-0.41	-0.41	N/A
AC011897.1	ENST00000581929.1	Uncharacterized protein  	12	2	0	1	1	1	hsa-miR-1185-5p	0.0151	0.1059	0.5861	-0.41	-0.41	N/A
CRTAP	ENST00000320954.6	cartilage associated protein 	3154	1	1	0	0	0	hsa-miR-1185-5p	0.0243	0.1617	0.7093	-0.41	-0.41	N/A
HINFP	ENST00000350777.2	histone H4 transcription factor 	410	1	1	0	0	0	hsa-miR-1185-5p	0.0382	0.2269	0.6844	-0.41	-0.41	N/A
PRR23A	ENST00000383163.2	proline rich 23A 	5	1	1	0	0	2	hsa-miR-1185-5p	0.0389	0.2536	1.0527	-0.41	-0.41	N/A
TMEM178B	ENST00000565468.1	transmembrane protein 178B 	129	3	0	1	2	2	hsa-miR-1185-5p	0.0402	0.2799	1.5234	-0.41	-0.41	N/A
DKK2	ENST00000285311.3	dickkopf WNT signaling pathway inhibitor 2 	5	2	1	0	1	0	hsa-miR-1185-5p	0.0119	0.0839	0.4758	-0.41	-0.41	N/A
GATC	ENST00000551765.1	glutamyl-tRNA(Gln) amidotransferase, subunit C 	781	3	0	1	2	2	hsa-miR-1185-5p	0.0242	0.1681	0.8983	-0.41	-0.74	N/A
ZSCAN25	ENST00000394152.2	zinc finger and SCAN domain containing 25 	230	1	1	0	0	2	hsa-miR-1185-5p	0.0408	0.2634	1.0824	-0.41	-0.41	N/A
GCSAM	ENST00000308910.4	germinal center-associated, signaling and motility 	5	2	0	1	1	0	hsa-miR-1185-5p	0.0208	0.1428	0.7275	-0.41	-0.41	N/A
NEDD8	ENST00000250495.5	neural precursor cell expressed, developmentally down-regulated 8 	30	1	0	1	0	0	hsa-miR-1185-5p	0.0150	0.1012	0.4542	-0.41	-0.41	N/A
TNR	ENST00000367674.2	tenascin R 	5	3	1	1	1	5	hsa-miR-1185-5p	0.0675	0.4738	2.6847	-0.40	-0.40	N/A
TMEM254	ENST00000372275.1	transmembrane protein 254 	61	2	0	1	1	0	hsa-miR-1185-5p	0.0144	0.1013	0.5529	-0.40	-0.42	N/A
SERPINE3	ENST00000521255.1	serpin peptidase inhibitor, clade E (nexin, plasminogen activator inhibitor type 1), member 3 	5	1	0	1	0	0	hsa-miR-1185-5p	0.0115	0.0800	0.4166	-0.40	-0.40	N/A
CLDN11	ENST00000064724.3	claudin 11 	1116	2	0	1	1	1	hsa-miR-1185-5p	0.0271	0.1855	0.9306	-0.40	-0.40	N/A
PURB	ENST00000395699.2	purine-rich element binding protein B 	497	2	0	0	2	1	hsa-miR-1185-5p	0.0158	0.1136	0.6961	-0.40	-0.44	N/A
UCKL1	ENST00000358711.3	uridine-cytidine kinase 1-like 1 	207	2	0	0	2	0	hsa-miR-1185-5p	0.0106	0.0755	0.4474	-0.40	-0.40	N/A
SLC31A2	ENST00000259392.3	solute carrier family 31 (copper transporter), member 2 	110	1	1	0	0	0	hsa-miR-1185-5p	0.0310	0.1872	0.5912	-0.40	-0.46	N/A
MRRF	ENST00000344641.3	mitochondrial ribosome recycling factor 	85	3	3	0	0	3	hsa-miR-1185-5p	0.0213	0.1454	0.7029	-0.40	-0.80	N/A
C6orf141	ENST00000529246.2	chromosome 6 open reading frame 141 	28	3	0	1	2	2	hsa-miR-1185-5p	0.0228	0.1563	0.8056	-0.40	-0.76	N/A
DHRS2	ENST00000250383.6	dehydrogenase/reductase (SDR family) member 2 	10	1	1	0	0	0	hsa-miR-1185-5p	0.0458	0.2619	0.7239	-0.40	-0.88	N/A
MTMR8	ENST00000374852.3	myotubularin related protein 8 	5	1	1	0	0	1	hsa-miR-1185-5p	0.0168	0.1143	0.5533	-0.40	-0.46	N/A
AL021546.6	ENST00000551806.1	Glutamyl-tRNA(Gln) amidotransferase subunit C, mitochondrial  	781	3	0	1	2	2	hsa-miR-1185-5p	0.0236	0.1639	0.8684	-0.39	-0.71	N/A
CELF2	ENST00000379261.4	CUGBP, Elav-like family member 2 	45	3	1	2	0	1	hsa-miR-1185-5p	0.0669	0.4412	1.9063	-0.39	-0.39	N/A
SPATA6	ENST00000371847.3	spermatogenesis associated 6 	23	2	2	0	0	0	hsa-miR-1185-5p	0.0348	0.2255	0.9080	-0.39	-0.63	N/A
HTRA4	ENST00000302495.4	HtrA serine peptidase 4 	5	1	1	0	0	0	hsa-miR-1185-5p	0.0297	0.1843	0.6254	-0.39	-0.39	N/A
PRELID2	ENST00000334744.4	PRELI domain containing 2 	63	2	1	0	1	2	hsa-miR-1185-5p	0.0464	0.2892	1.1739	-0.39	-0.70	N/A
PPP1R1C	ENST00000409137.3	protein phosphatase 1, regulatory (inhibitor) subunit 1C 	5	2	0	2	0	0	hsa-miR-1185-5p	0.0292	0.1917	0.8046	-0.39	-0.39	N/A
PCDH11Y	ENST00000215473.6	protocadherin 11 Y-linked 	0	2	0	1	1	0	hsa-miR-1185-5p	0.0294	0.2002	0.9884	-0.39	-0.39	N/A
CNRIP1	ENST00000409862.1	cannabinoid receptor interacting protein 1 	29	1	1	0	0	0	hsa-miR-1185-5p	0.0421	0.2376	0.6620	-0.39	-0.48	N/A
ZNF791	ENST00000446165.1	zinc finger protein 791 	242	2	0	1	1	0	hsa-miR-1185-5p	0.0452	0.2764	0.9600	-0.39	-0.40	N/A
GLRX3	ENST00000368644.1	glutaredoxin 3 	213	1	0	1	0	4	hsa-miR-1185-5p	0.0231	0.1565	0.8007	-0.39	-0.73	N/A
AHR	ENST00000242057.4	aryl hydrocarbon receptor 	25	1	1	0	0	0	hsa-miR-1185-5p	0.0400	0.2455	0.8679	-0.39	-0.39	N/A
MRC1L1	ENST00000331429.2	cDNA FLJ56855, highly similar to Macrophage mannose receptor 1  	5	1	1	0	0	0	hsa-miR-1185-5p	0.0439	0.2592	0.8120	-0.39	-0.39	N/A
SPANXN2	ENST00000370498.1	SPANX family, member N2 	5	1	0	0	1	0	hsa-miR-1185-5p	0.0032	0.0229	0.1474	-0.39	-0.39	N/A
UBE2L6	ENST00000340573.4	ubiquitin-conjugating enzyme E2L 6 	4657	1	0	1	0	1	hsa-miR-1185-5p	0.0102	0.0724	0.4084	-0.38	-0.39	N/A
DSTN	ENST00000246069.7	destrin (actin depolymerizing factor) 	10116	1	0	1	0	0	hsa-miR-1185-5p	0.0235	0.1511	0.5681	-0.38	-0.38	N/A
SPATA5	ENST00000274008.4	spermatogenesis associated 5 	168	3	1	0	2	1	hsa-miR-1185-5p	0.0374	0.2506	1.1770	-0.38	-0.48	N/A
RBL1	ENST00000598590.1	RBL1 protein; Uncharacterized protein  	10	2	0	0	2	0	hsa-miR-1185-5p	0.0063	0.0456	0.2912	-0.38	-0.38	N/A
KCNK13	ENST00000282146.4	potassium channel, subfamily K, member 13 	11	1	0	0	1	0	hsa-miR-1185-5p	0.0136	0.0977	0.6060	-0.38	-0.38	N/A
PPP2R3C	ENST00000261475.5	protein phosphatase 2, regulatory subunit B'', gamma 	105	1	0	0	1	0	hsa-miR-1185-5p	0.0082	0.0579	0.3123	-0.38	-0.38	N/A
TMEM167B	ENST00000338272.8	transmembrane protein 167B 	42	1	1	0	0	0	hsa-miR-1185-5p	0.0183	0.1216	0.5252	-0.38	-0.43	N/A
