Target gene	Representative transcript	Gene name	3P-seq tags + 5	Total sites	8mer sites	7mer-m8 sites	7mer-A1 sites	6mer sites	Representative miRNA	Predicted occupancy (low miRNA)	Predicted occupancy (high miRNA)	Predicted occupancy (transfected miRNA)	Cumulative weighted context++ score	Total context++ score	Aggregate PCT
C2orf50	ENST00000381585.3	chromosome 2 open reading frame 50 	5	6	3	2	1	0	hsa-miR-1273h-5p				-1.22	-1.22	N/A
PDDC1	ENST00000319863.8	Parkinson disease 7 domain containing 1 	529	5	4	1	0	0	hsa-miR-1273h-5p				-1.14	-1.14	N/A
SLC25A45	ENST00000527174.1	solute carrier family 25, member 45 	67	9	4	5	0	3	hsa-miR-1273h-5p				-1.13	-1.27	N/A
HIF3A	ENST00000377670.4	hypoxia inducible factor 3, alpha subunit 	5	5	3	1	1	1	hsa-miR-1273h-5p				-1.12	-1.12	N/A
BLOC1S3	ENST00000433642.2	biogenesis of lysosomal organelles complex-1, subunit 3 	182	4	1	3	0	4	hsa-miR-6780a-5p				-1.11	-1.11	N/A
PNPO	ENST00000225573.4	pyridoxamine 5'-phosphate oxidase 	583	6	3	3	0	0	hsa-miR-1273h-5p				-1.08	-1.27	N/A
SHISA7	ENST00000376325.4	shisa family member 7 	5	5	1	4	0	6	hsa-miR-6780a-5p				-1.08	-1.08	N/A
TAF8	ENST00000372977.3	TAF8 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 43kDa 	135	8	7	1	0	2	hsa-miR-6779-5p				-1.07	-1.33	N/A
RALB	ENST00000272519.5	v-ral simian leukemia viral oncogene homolog B 	527	3	2	1	0	0	hsa-miR-1273h-5p				-1.07	-1.07	N/A
RNASE13	ENST00000382951.3	ribonuclease, RNase A family, 13 (non-active) 	5	3	2	0	1	1	hsa-miR-6779-5p				-1.07	-1.07	N/A
NCR3LG1	ENST00000338965.4	natural killer cell cytotoxicity receptor 3 ligand 1 	214	7	0	5	2	1	hsa-miR-1273h-5p				-1.07	-1.07	N/A
RAB37	ENST00000392610.1	RAB37, member RAS oncogene family 	875	5	1	2	2	0	hsa-miR-1273h-5p				-1.05	-1.05	N/A
MOB3A	ENST00000357066.3	MOB kinase activator 3A 	13	5	3	2	0	3	hsa-miR-1273h-5p				-1.04	-1.04	N/A
LINC00908	ENST00000578613.1	long intergenic non-protein coding RNA 908 	5	3	2	1	0	1	hsa-miR-1273h-5p				-1.04	-1.04	N/A
MAPK13	ENST00000373766.5	mitogen-activated protein kinase 13 	499	8	3	4	1	3	hsa-miR-6779-5p				-1.04	-1.10	N/A
CTRC	ENST00000375943.2	chymotrypsin C (caldecrin) 	5	5	3	2	0	1	hsa-miR-1273h-5p				-1.03	-1.03	N/A
SCAMP4	ENST00000316097.8	secretory carrier membrane protein 4 	223	3	2	1	0	1	hsa-miR-1273h-5p				-1.03	-1.03	N/A
C5orf45	ENST00000518219.1	chromosome 5 open reading frame 45 	313	7	3	4	0	2	hsa-miR-1273h-5p				-1.02	-1.02	N/A
TRAPPC2	ENST00000453655.2	trafficking protein particle complex 2 	589	4	3	1	0	0	hsa-miR-1273h-5p				-1.02	-1.06	N/A
SULT1E1	ENST00000226444.3	sulfotransferase family 1E, estrogen-preferring, member 1 	5	3	2	1	0	0	hsa-miR-30b-3p				-1.01	-1.01	N/A
ZNF490	ENST00000311437.6	zinc finger protein 490 	97	8	5	2	1	1	hsa-miR-1273h-5p				-1.01	-1.07	N/A
AAED1	ENST00000375234.3	AhpC/TSA antioxidant enzyme domain containing 1 	5	4	4	0	0	0	hsa-miR-1273h-5p				-1.01	-1.01	N/A
KIAA1671	ENST00000401395.1	KIAA1671 	549	3	3	0	0	1	hsa-miR-1273h-5p				-1.01	-1.03	N/A
FAM83F	ENST00000333407.6	family with sequence similarity 83, member F 	5	13	6	6	1	3	hsa-miR-1273h-5p				-1.01	-1.01	N/A
OSBP2	ENST00000382310.3	oxysterol binding protein 2 	485	1*	0	0	0	3	hsa-miR-6779-5p				-1.00	0	N/A
CHP1	ENST00000334660.5	calcineurin-like EF-hand protein 1 	2051	5	4	0	1	1	hsa-miR-1273h-5p				-0.99	-0.99	N/A
TMEM154	ENST00000304385.3	transmembrane protein 154 	5	11	7	3	1	1	hsa-miR-1273h-5p				-0.97	-0.97	N/A
SYNGR1	ENST00000328933.5	synaptogyrin 1 	101	6	1	4	1	0	hsa-miR-1273h-5p				-0.97	-0.97	N/A
GPR83	ENST00000243673.2	G protein-coupled receptor 83 	33	3	2	1	0	0	hsa-miR-1273h-5p				-0.96	-0.96	N/A
COL11A2	ENST00000374708.4	collagen, type XI, alpha 2 	19	6	2	4	0	1	hsa-miR-6779-5p				-0.95	-0.97	N/A
ONECUT3	ENST00000382349.4	one cut homeobox 3 	5	6	0	5	1	4	hsa-miR-6779-5p				-0.94	-0.94	N/A
EXOSC6	ENST00000435634.1	exosome component 6 	42	9	6	2	1	0	hsa-miR-1273h-5p				-0.94	-1.63	N/A
POLR2D	ENST00000272645.4	polymerase (RNA) II (DNA directed) polypeptide D 	530	5	4	1	0	1	hsa-miR-1273h-5p				-0.93	-0.95	N/A
COX7B	ENST00000481445.1	cytochrome c oxidase subunit VIIb 	83	5	4	0	1	1	hsa-miR-1273h-5p				-0.93	-1.44	N/A
DKFZP779L1853	ENST00000595310.1		5	4	1	3	0	0	hsa-miR-1273h-5p				-0.92	-0.92	N/A
NFIC	ENST00000346156.5	nuclear factor I/C (CCAAT-binding transcription factor) 	26	8*	3	3	0	2	hsa-miR-6779-5p				-0.92	-1.14	N/A
CYP1A2	ENST00000343932.4	cytochrome P450, family 1, subfamily A, polypeptide 2 	5	6	3	3	0	0	hsa-miR-6779-5p				-0.92	-1.20	N/A
NOVA2	ENST00000263257.5	neuro-oncological ventral antigen 2 	7	5	0	5	0	2	hsa-miR-6780a-5p				-0.92	-1.23	N/A
APOC4	ENST00000419266.2	apolipoprotein C-IV 	2245	3	1	2	0	0	hsa-miR-30b-3p				-0.91	-0.92	N/A
PRR12	ENST00000418929.2	proline rich 12 	95	6	2	3	1	1	hsa-miR-6779-5p				-0.91	-2.13	N/A
ADIPOQ	ENST00000412955.2	adiponectin, C1Q and collagen domain containing 	5	5	3	2	0	0	hsa-miR-1273h-5p				-0.91	-0.91	N/A
C4orf26	ENST00000311623.4	chromosome 4 open reading frame 26 	5	3	2	1	0	0	hsa-miR-6779-5p				-0.91	-0.91	N/A
GFRA4	ENST00000290417.2	GDNF family receptor alpha 4 	5	2	2	0	0	1	hsa-miR-30b-3p				-0.91	-0.91	N/A
TCTN2	ENST00000303372.5	tectonic family member 2 	21	4	3	1	0	0	hsa-miR-1273h-5p				-0.90	-0.90	N/A
C14orf2	ENST00000553430.1	chromosome 14 open reading frame 2 	1228	3	2	1	0	0	hsa-miR-1273h-5p				-0.89	-0.89	N/A
ATP6V0D2	ENST00000285393.3	ATPase, H+ transporting, lysosomal 38kDa, V0 subunit d2 	5	4	2	2	0	0	hsa-miR-1273h-5p				-0.87	-0.87	N/A
MRPL30	ENST00000338148.3	mitochondrial ribosomal protein L30 	246	7	2	4	1	0	hsa-miR-1273h-5p				-0.87	-1.18	N/A
C2orf15	ENST00000512183.2	chromosome 2 open reading frame 15 	246	7	2	4	1	0	hsa-miR-1273h-5p				-0.87	-1.18	N/A
PAQR4	ENST00000318782.8	progestin and adipoQ receptor family member IV 	703	5	1	2	2	0	hsa-miR-6779-5p				-0.86	-0.86	N/A
C3orf72	ENST00000383165.3	chromosome 3 open reading frame 72 	11	4	2	2	0	2	hsa-miR-1273h-5p				-0.86	-0.86	N/A
UQCR11	ENST00000589880.1	ubiquinol-cytochrome c reductase, complex III subunit XI 	34490	6	4	2	0	1	hsa-miR-1273h-5p				-0.86	-1.82	N/A
APOL6	ENST00000409652.4	apolipoprotein L, 6 	5	7	4	2	1	1	hsa-miR-6779-5p				-0.86	-0.86	N/A
CYB561D1	ENST00000496961.1	cytochrome b561 family, member D1 	105	4	2	2	0	2	hsa-miR-1273h-5p				-0.85	-0.90	N/A
C16orf54	ENST00000329410.3	chromosome 16 open reading frame 54 	5	4	1	2	1	0	hsa-miR-1273h-5p				-0.85	-0.85	N/A
GMFG	ENST00000598034.1	glia maturation factor, gamma 	5	2	2	0	0	0	hsa-miR-1273h-5p				-0.84	-0.84	N/A
SIRPG	ENST00000381580.1	signal-regulatory protein gamma 	5	2	1	0	1	1	hsa-miR-30b-3p				-0.83	-0.84	N/A
PCP4L1	ENST00000504449.1	Purkinje cell protein 4 like 1 	23	5	1	3	1	0	hsa-miR-6780a-5p				-0.83	-1.08	N/A
CD300LD	ENST00000375352.1	CD300 molecule-like family member d 	5	3	1	2	0	0	hsa-miR-1273h-5p				-0.83	-0.83	N/A
HP1BP3	ENST00000312239.5	heterochromatin protein 1, binding protein 3 	1886	3	2	1	0	1	hsa-miR-1273h-5p				-0.83	-0.90	N/A
PRICKLE3	ENST00000376317.3	prickle homolog 3 (Drosophila) 	117	4	2	1	1	0	hsa-miR-1273h-5p				-0.83	-1.06	N/A
ZNF726	ENST00000525354.2	zinc finger protein 726 	16	6	3	3	0	2	hsa-miR-1273h-5p				-0.83	-1.18	N/A
ZNF286B	ENST00000285274.5	zinc finger protein 286B 	5	4	2	2	0	0	hsa-miR-1273h-5p				-0.82	-0.82	N/A
HSPB6	ENST00000587965.1	heat shock protein, alpha-crystallin-related, B6 	121	3	0	2	1	1	hsa-miR-6779-5p				-0.82	-0.89	N/A
RHOJ	ENST00000316754.3	ras homolog family member J 	118	2	2	0	0	4	hsa-miR-6779-5p				-0.82	-0.92	N/A
ZNF385A	ENST00000551109.1	zinc finger protein 385A 	94	3	1	2	0	1	hsa-miR-6780a-5p				-0.81	-0.81	N/A
CD34	ENST00000356522.4	CD34 molecule 	5	2	1	1	0	4	hsa-miR-1273h-5p				-0.81	-0.81	N/A
TMEM159	ENST00000572258.1	transmembrane protein 159 	159	2	2	0	0	1	hsa-miR-1273h-5p				-0.81	-0.84	N/A
ARL5C	ENST00000269586.7	ADP-ribosylation factor-like 5C 	2	4	3	0	1	0	hsa-miR-6779-5p				-0.81	-0.81	N/A
DDA1	ENST00000359866.4	DET1 and DDB1 associated 1 	76	7	3	3	1	4	hsa-miR-6779-5p				-0.80	-1.46	N/A
C9orf9	ENST00000372136.3	chromosome 9 open reading frame 9 	44	4	3	1	0	1	hsa-miR-1273h-5p				-0.80	-0.80	N/A
AC007390.5	ENST00000402297.1	HCG1988162; Uncharacterized protein  	223	3	2	1	0	0	hsa-miR-1273h-5p				-0.80	-0.82	N/A
RP11-1070N10.3	ENST00000554161.1	Uncharacterized protein  	5	3	0	2	1	0	hsa-miR-30b-3p				-0.80	-0.80	N/A
ZNF70	ENST00000341976.3	zinc finger protein 70 	99	13	7	3	3	2	hsa-miR-1273h-5p				-0.80	-1.31	N/A
SHISA6	ENST00000441885.3	shisa family member 6 	5	6	2	3	1	2	hsa-miR-1273h-5p				-0.79	-0.79	N/A
NFAM1	ENST00000329021.5	NFAT activating protein with ITAM motif 1 	7	5	1	3	1	3	hsa-miR-1273h-5p				-0.79	-0.98	N/A
F2RL2	ENST00000296641.4	coagulation factor II (thrombin) receptor-like 2 	5	5	4	1	0	0	hsa-miR-6779-5p				-0.78	-0.78	N/A
APOC2	ENST00000585786.1	apolipoprotein C-II 	2242	1	1	0	0	0	hsa-miR-30b-3p				-0.77	-0.78	N/A
MXRA7	ENST00000355797.3	matrix-remodelling associated 7 	421	6	4	1	1	2	hsa-miR-1273h-5p				-0.77	-1.38	N/A
KSR2	ENST00000425217.1	kinase suppressor of ras 2 	22	4	1	2	1	8	hsa-miR-6779-5p				-0.77	-0.77	N/A
PCBD1	ENST00000299299.3	pterin-4 alpha-carbinolamine dehydratase/dimerization cofactor of hepatocyte nuclear factor 1 alpha 	286	2	1	1	0	0	hsa-miR-1273h-5p				-0.77	-0.77	N/A
DNAH17-AS1	ENST00000598378.1	DNAH17 antisense RNA 1 	23	3	2	0	1	0	hsa-miR-1273h-5p				-0.77	-0.77	N/A
NACC1	ENST00000292431.4	nucleus accumbens associated 1, BEN and BTB (POZ) domain containing 	337	3	1	2	0	2	hsa-miR-6779-5p				-0.77	-0.77	N/A
TMEM14B	ENST00000467317.1	transmembrane protein 14B 	5	2	1	1	0	1	hsa-miR-6779-5p				-0.77	-0.80	N/A
SP140L	ENST00000415673.2	SP140 nuclear body protein-like 	7	3	2	0	1	2	hsa-miR-1273h-5p				-0.76	-0.76	N/A
YWHAQ	ENST00000381844.4	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, theta polypeptide 	473	2	1	0	1	0	hsa-miR-30b-3p				-0.76	-0.76	N/A
ENTPD2	ENST00000355097.2	ectonucleoside triphosphate diphosphohydrolase 2 	8	3	0	2	1	1	hsa-miR-6779-5p				-0.76	-0.76	N/A
LYZL2	ENST00000375318.2	lysozyme-like 2 	5	1	1	0	0	0	hsa-miR-6779-5p				-0.76	-0.76	N/A
GPR173	ENST00000332582.4	G protein-coupled receptor 173 	99	3	2	1	0	2	hsa-miR-1273h-5p				-0.76	-0.76	N/A
SCN4B	ENST00000324727.4	sodium channel, voltage-gated, type IV, beta subunit 	13	5	0	5	0	2	hsa-miR-6780a-5p				-0.76	-0.76	N/A
IFLTD1	ENST00000445693.1	intermediate filament tail domain containing 1 	5	3	1	2	0	0	hsa-miR-1273h-5p				-0.76	-0.82	N/A
LYZL1	ENST00000375500.3	lysozyme-like 1 	5	1	1	0	0	0	hsa-miR-6779-5p				-0.75	-0.75	N/A
RP11-162A12.2	ENST00000585258.1	Uncharacterized protein  	5	1	1	0	0	0	hsa-miR-1273h-5p				-0.75	-0.75	N/A
RBM19	ENST00000545145.2	RNA binding motif protein 19 	217	5	2	1	2	0	hsa-miR-6779-5p				-0.75	-0.75	N/A
PTPLB	ENST00000383657.5	protein tyrosine phosphatase-like (proline instead of catalytic arginine), member b 	1275	3	2	1	0	0	hsa-miR-1273h-5p				-0.75	-0.76	N/A
SSR2	ENST00000529008.1	signal sequence receptor, beta (translocon-associated protein beta) 	1344	3	0	0	3	0	hsa-miR-1273h-5p				-0.74	-0.75	N/A
IGSF8	ENST00000368086.1	immunoglobulin superfamily, member 8 	92	2	1	1	0	0	hsa-miR-1273h-5p				-0.74	-0.74	N/A
AP4S1	ENST00000334725.4	adaptor-related protein complex 4, sigma 1 subunit 	12	6	3	3	0	1	hsa-miR-1273h-5p				-0.74	-1.03	N/A
ELK1	ENST00000247161.3	ELK1, member of ETS oncogene family 	11	5	2	1	2	0	hsa-miR-1273h-5p				-0.74	-1.11	N/A
ANKRD52	ENST00000267116.7	ankyrin repeat domain 52 	2913	4	1	2	1	1	hsa-miR-6780a-5p				-0.74	-0.89	N/A
GDI1	ENST00000447750.2	GDP dissociation inhibitor 1 	21	3	1	2	0	0	hsa-miR-6779-5p				-0.73	-0.73	N/A
TMEM184C	ENST00000296582.3	transmembrane protein 184C 	94	3	3	0	0	0	hsa-miR-1273h-5p				-0.73	-0.73	N/A
RP11-366L20.2	ENST00000356215.2	Uncharacterized protein  	5	4	1	2	1	0	hsa-miR-30b-3p				-0.73	-0.73	N/A
CIITA	ENST00000324288.8	class II, major histocompatibility complex, transactivator 	5	6	4	1	1	2	hsa-miR-1273h-5p				-0.73	-0.73	N/A
RPH3AL	ENST00000331302.7	rabphilin 3A-like (without C2 domains) 	60	7	2	5	0	1	hsa-miR-6779-5p				-0.73	-1.12	N/A
C1orf105	ENST00000367725.4	chromosome 1 open reading frame 105 	5	2	0	1	1	1	hsa-miR-3689b-3p				-0.73	-0.73	N/A
APOC4-APOC2	ENST00000589057.1	APOC4-APOC2 readthrough (NMD candidate) 	2237	1	1	0	0	0	hsa-miR-30b-3p				-0.73	-0.73	N/A
CALN1	ENST00000329008.5	calneuron 1 	5	4	1	2	1	8	hsa-miR-1273h-5p				-0.72	-0.72	N/A
GSTM1	ENST00000309851.5	glutathione S-transferase mu 1 	5	2	0	1	1	0	hsa-miR-30b-3p				-0.72	-0.72	N/A
DUSP19	ENST00000354221.4	dual specificity phosphatase 19 	42	7	2	3	2	0	hsa-miR-1273h-5p				-0.72	-1.00	N/A
NOTO	ENST00000398468.3	notochord homeobox 	5	3	2	1	0	0	hsa-miR-1273h-5p				-0.72	-0.72	N/A
MSMO1	ENST00000261507.6	methylsterol monooxygenase 1 	1413	3	2	1	0	1	hsa-miR-1273h-5p				-0.72	-0.75	N/A
KCNIP1	ENST00000328939.4	Kv channel interacting protein 1 	5	2	2	0	0	0	hsa-miR-1273h-5p				-0.71	-0.71	N/A
HCFC1	ENST00000310441.7	host cell factor C1 (VP16-accessory protein) 	181	3	2	1	0	1	hsa-miR-1273h-5p				-0.71	-0.71	N/A
FCAR	ENST00000355524.3	Fc fragment of IgA, receptor for 	5	4	4	0	0	1	hsa-miR-1273h-5p				-0.71	-1.02	N/A
DNAH10OS	ENST00000514254.2	dynein, axonemal, heavy chain 10 opposite strand 	89	5*	1	3	0	1	hsa-miR-6780a-5p				-0.71	-0.73	N/A
RP11-382J12.1	ENST00000499227.2	Uncharacterized protein  	5	3*	1	1	0	1	hsa-miR-1273h-5p				-0.71	-0.71	N/A
TMPRSS11BNL	ENST00000432593.3	TMPRSS11B N-terminal like 	5	3	2	1	0	0	hsa-miR-1273h-5p				-0.71	-0.71	N/A
PTGES	ENST00000340607.4	prostaglandin E synthase 	248	2	2	0	0	1	hsa-miR-1273h-5p				-0.71	-0.71	N/A
GNAT1	ENST00000232461.3	guanine nucleotide binding protein (G protein), alpha transducing activity polypeptide 1 	8	5	0	5	0	0	hsa-miR-6780a-5p				-0.71	-0.73	N/A
QPCTL	ENST00000012049.5	glutaminyl-peptide cyclotransferase-like 	62	8	4	1	3	1	hsa-miR-1273h-5p				-0.71	-1.04	N/A
CORO2B	ENST00000261861.5	coronin, actin binding protein, 2B 	751	3	1	2	0	0	hsa-miR-30b-3p				-0.71	-0.71	N/A
BAK1	ENST00000442998.2	BCL2-antagonist/killer 1 	15	3	1	0	2	2	hsa-miR-3689b-3p				-0.71	-0.71	N/A
TOR4A	ENST00000357503.2	torsin family 4, member A 	222	3	2	1	0	1	hsa-miR-1273h-5p				-0.71	-0.71	N/A
BCL9L	ENST00000334801.3	B-cell CLL/lymphoma 9-like 	91	6	2	4	0	3	hsa-miR-6779-5p				-0.70	-1.01	N/A
RP11-644F5.10	ENST00000550412.1	Uncharacterized protein  	265	3	3	0	0	1	hsa-miR-6779-5p				-0.70	-0.74	N/A
PHACTR4	ENST00000373839.3	phosphatase and actin regulator 4 	85	5	3	2	0	1	hsa-miR-6779-5p				-0.70	-0.92	N/A
TMEM52B	ENST00000298530.3	transmembrane protein 52B 	11	2	2	0	0	0	hsa-miR-30b-3p				-0.70	-0.70	N/A
PRRT2	ENST00000300797.6	proline-rich transmembrane protein 2 	33	1	1	0	0	2	hsa-miR-1273h-5p				-0.70	-0.70	N/A
DNAJC24	ENST00000465995.1	DnaJ (Hsp40) homolog, subfamily C, member 24 	424	3	2	1	0	0	hsa-miR-1273h-5p				-0.70	-0.88	N/A
SP8	ENST00000418710.2	Sp8 transcription factor 	95	4	1	1	2	0	hsa-miR-30b-3p				-0.70	-0.75	N/A
RNF207	ENST00000377948.2	ring finger protein 207 	5	4	2	1	1	1	hsa-miR-1273h-5p				-0.70	-0.70	N/A
DTD2	ENST00000310850.4	D-tyrosyl-tRNA deacylase 2 (putative) 	924	2	2	0	0	0	hsa-miR-1273h-5p				-0.70	-0.70	N/A
CXorf64	ENST00000371125.3	chromosome X open reading frame 64 	5	2	0	2	0	0	hsa-miR-6779-5p				-0.69	-0.69	N/A
CCR4	ENST00000330953.5	chemokine (C-C motif) receptor 4 	5	7	6	1	0	1	hsa-miR-1273h-5p				-0.69	-1.31	N/A
SEMA4G	ENST00000210633.3	sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4G 	1015	3	1	1	1	2	hsa-miR-6779-5p				-0.69	-0.69	N/A
CSDC2	ENST00000306149.7	cold shock domain containing C2, RNA binding 	31	1	1	0	0	2	hsa-miR-1273h-5p				-0.69	-0.69	N/A
EFCC1	ENST00000436022.2	EF-hand and coiled-coil domain containing 1 	5	3	0	3	0	0	hsa-miR-6780a-5p				-0.69	-0.69	N/A
NDUFA11	ENST00000592634.1	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 11, 14.7kDa 	32826	2	0	2	0	3	hsa-miR-6780a-5p				-0.69	-0.69	N/A
SLC7A8	ENST00000469263.1	solute carrier family 7 (amino acid transporter light chain, L system), member 8 	15	2	0	2	0	5	hsa-miR-1273h-5p				-0.69	-0.69	N/A
AP005482.1	ENST00000400514.2	Uncharacterized protein  	44	3	1	1	1	2	hsa-miR-6779-5p				-0.69	-0.93	N/A
NDST1	ENST00000261797.6	N-deacetylase/N-sulfotransferase (heparan glucosaminyl) 1 	13660	4	1	3	0	3	hsa-miR-6779-5p				-0.68	-0.68	N/A
METTL7A	ENST00000332160.4	methyltransferase like 7A 	695	3	2	0	1	1	hsa-miR-6779-5p				-0.68	-0.68	N/A
SLC19A3	ENST00000258403.3	solute carrier family 19 (thiamine transporter), member 3 	16	3	3	0	0	1	hsa-miR-1273h-5p				-0.68	-0.68	N/A
TTBK1	ENST00000259750.4	tau tubulin kinase 1 	7	3	1	1	1	2	hsa-miR-6779-5p				-0.68	-0.68	N/A
TBXA2R	ENST00000375190.4	thromboxane A2 receptor 	169	2	2	0	0	1	hsa-miR-1273h-5p				-0.68	-0.68	N/A
RP11-1102P16.1	ENST00000523987.1	Uncharacterized protein  	5	2	1	1	0	0	hsa-miR-1273h-5p				-0.68	-0.68	N/A
CBY3	ENST00000376974.4	chibby homolog 3 (Drosophila) 	3	4	3	1	0	0	hsa-miR-1273h-5p				-0.68	-0.68	N/A
SLC36A2	ENST00000335244.4	solute carrier family 36 (proton/amino acid symporter), member 2 	5	4	3	0	1	0	hsa-miR-6779-5p				-0.67	-0.67	N/A
APLN	ENST00000307484.6	apelin 	48	2	1	1	0	2	hsa-miR-3689a-3p				-0.67	-0.67	N/A
GSTM4	ENST00000369833.1	glutathione S-transferase mu 4 	767	2	2	0	0	1	hsa-miR-30b-3p				-0.67	-0.67	N/A
ANKRD54	ENST00000215941.4	ankyrin repeat domain 54 	5	3	1	2	0	3	hsa-miR-6779-5p				-0.67	-0.67	N/A
VPS25	ENST00000253794.2	vacuolar protein sorting 25 homolog (S. cerevisiae) 	1196	2	0	2	0	1	hsa-miR-6780a-5p				-0.67	-0.78	N/A
CASP10	ENST00000360132.3	caspase 10, apoptosis-related cysteine peptidase 	55	8	1	6	1	1	hsa-miR-1273h-5p				-0.67	-0.83	N/A
C14orf178	ENST00000556047.1	chromosome 14 open reading frame 178 	5	1	1	0	0	0	hsa-miR-1273h-5p				-0.67	-0.67	N/A
HSPB2	ENST00000537382.1	Homo sapiens heat shock 27kDa protein 2 (HSPB2), mRNA. 	5	1	1	0	0	0	hsa-miR-6779-5p				-0.67	-0.67	N/A
RP11-1C1.5	ENST00000506021.1	Uncharacterized protein  	5	1	1	0	0	0	hsa-miR-3689b-3p				-0.66	-0.66	N/A
POU2F2	ENST00000342301.4	POU class 2 homeobox 2 	5	3	1	2	0	2	hsa-miR-1273h-5p				-0.66	-0.66	N/A
PPT2	ENST00000361568.2	palmitoyl-protein thioesterase 2 	147	2	1	1	0	1	hsa-miR-30b-3p				-0.66	-0.66	N/A
CCL16	ENST00000293275.3	chemokine (C-C motif) ligand 16 	5	3	0	3	0	0	hsa-miR-6780a-5p				-0.66	-0.66	N/A
RP11-455G16.1	ENST00000326780.3	Uncharacterized protein  	5	3	1	2	0	0	hsa-miR-6779-5p				-0.66	-0.66	N/A
AC026310.1	ENST00000599478.1	Protein 101060047  	5	2	1	0	1	1	hsa-miR-3689b-3p				-0.66	-0.66	N/A
NUDT4	ENST00000337179.5	nudix (nucleoside diphosphate linked moiety X)-type motif 4 	41	2	2	0	0	2	hsa-miR-1273h-5p				-0.66	-0.66	N/A
TTC22	ENST00000371276.4	tetratricopeptide repeat domain 22 	5	3	3	0	0	0	hsa-miR-6779-5p				-0.66	-0.66	N/A
ZNF747	ENST00000395094.3	zinc finger protein 747 	101	4	2	1	1	0	hsa-miR-1273h-5p				-0.66	-0.72	N/A
CTSW	ENST00000528419.1	cathepsin W 	5	1	1	0	0	0	hsa-miR-6779-5p				-0.66	-0.66	N/A
ALDH3B2	ENST00000530069.1	aldehyde dehydrogenase 3 family, member B2 	5	2	1	0	1	0	hsa-miR-1273h-5p				-0.66	-0.66	N/A
LSG1	ENST00000265245.5	large 60S subunit nuclear export GTPase 1 	47	6	3	3	0	0	hsa-miR-6779-5p				-0.66	-1.07	N/A
CSNK2A1	ENST00000349736.5	casein kinase 2, alpha 1 polypeptide 	1927	4	1	1	2	0	hsa-miR-6779-5p				-0.66	-0.76	N/A
ARHGAP17	ENST00000441763.2	Rho GTPase activating protein 17 	1337	5	2	2	1	2	hsa-miR-1273h-5p				-0.65	-0.65	N/A
CRX	ENST00000221996.7	cone-rod homeobox 	5	3	2	0	1	2	hsa-miR-1273h-5p				-0.65	-0.65	N/A
LEPROT	ENST00000371065.4	leptin receptor overlapping transcript 	397	4	2	1	1	0	hsa-miR-1273h-5p				-0.65	-0.87	N/A
S1PR2	ENST00000590320.1	sphingosine-1-phosphate receptor 2 	10	5	3	2	0	0	hsa-miR-1273h-5p				-0.65	-0.65	N/A
